D4_10_2;D4_10_2;D4_10_2;D4_10_2
Technique;AUPR;AUROC;Mean
ARACNE;0.1710165754283653;0.4489020270270271;0.3099593012
BC3NET;0.2027977381204774;0.5097128378378378;0.3562552879
C3NET;0.1822875563732913;0.4864864864864865;0.3343870214
CLR;0.1881214677070924;0.4860641891891892;0.3370928284
CMI2NI;0.2174503985268011;0.5996621621621621;0.4085562803
GENIE3_ET;0.2391801279442564;0.612331081081081;0.4257556045
GENIE3_RF;0.2516599008133285;0.6258445945945945;0.4387522477
GRNBOOST2;0.2335780423150415;0.566722972972973;0.4001505076
GRNVBEM;0.340263870635496;0.6984797297297297;0.5193718001
INFERELATOR;0.2555332565563703;0.6123310810810811;0.4339321688
JUMP3;0.5155087420211479;0.7668918918918919;0.6412003169
KBOOST;0.2368117386428339;0.6030405405405406;0.4199261395
LEAP;0.24040554829343;0.5844594594594594;0.4124325038
LOCPCACMI;0.1930565217592735;0.5122466216216215;0.3526515716
MEOMI;0.2389172817008035;0.4809966216216217;0.3599569516
MRNETB;0.1838418808477988;0.4907094594594594;0.3372756701
MRNET;0.1875594803163094;0.5046452702702703;0.3461023752
NARROMI;0.2028501163760757;0.5430743243243243;0.3729622203
NONLINEARODES;0.182718766743174;0.5734797297297297;0.3780992482
PCACMI;0.1750214472829871;0.4467905405405404;0.3109059939
PCIT;0.2948158095580698;0.5819256756756757;0.4383707426
PIDC;0.2064562833535365;0.5287162162162162;0.3675862497
PLSNET;0.1783141560360462;0.5168918918918919;0.3476030239
PUC;0.2087569887265913;0.4442567567567567;0.3265068727
RSNET;0.2977852852876355;0.6030405405405406;0.4504129129
TIGRESS;0.2190524580004652;0.6140202702702704;0.4165363641
BEST_GENECI;0.3047418518185033;0.6469594594594594;0.4758506556389813
MEDIAN_GENECI;0.2912690313217578;0.6182432432432432;0.4547561372825005
MEAN;0.2912994734130218;0.6190878378378377;0.4551936556254298
MEDIAN;0.1773664137126244;0.4822635135135135;0.32981496361306895
