D4_10_2;D4_10_2;D4_10_2;D4_10_2;D4_10_2
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.1710165754283653;0.4489020270270271;0.3099593012;0 days 00:00:00.272865062
BC3NET;0.20279773812047747;0.5097128378378378;0.3562552879;0 days 00:00:22.500164938
C3NET;0.18228755637329133;0.4864864864864865;0.3343870214;0 days 00:00:00.364380028
CLR;0.18812146770709245;0.48606418918918926;0.3370928284;0 days 00:00:00.264010291
CMI2NI;0.21745039852680115;0.5996621621621621;0.4085562803;0 days 00:00:06.012589571
GENIE3_ET;0.2391801279442564;0.612331081081081;0.4257556045;0 days 00:00:08.153008565
GENIE3_RF;0.2516599008133285;0.6258445945945945;0.4387522477;0 days 00:00:09.408687969
GRNBOOST2;0.2335780423150415;0.566722972972973;0.4001505076;0 days 00:00:03.977207376
GRNVBEM;0.340263870635496;0.6984797297297297;0.5193718001;0 days 00:00:06.446223883
INFERELATOR;0.2555332565563703;0.6123310810810811;0.4339321688;0 days 00:07:01.830171177
JUMP3;0.5155087420211479;0.7668918918918919;0.6412003169;0 days 00:02:44.849391531
KBOOST;0.2368117386428339;0.6030405405405406;0.4199261395;0 days 00:00:00.338536553
LEAP;0.24040554829343;0.5844594594594594;0.4124325038;0 days 00:00:00.424071058
LOCPCACMI;0.1930565217592735;0.5122466216216215;0.3526515716;0 days 00:00:07.323413703
MEOMI;0.23891728170080354;0.4809966216216217;0.3599569516;0 days 00:00:14.354782929
MRNETB;0.18384188084779882;0.49070945945945943;0.3372756701;0 days 00:00:00.286318145
MRNET;0.18755948031630942;0.5046452702702703;0.3461023752;0 days 00:00:00.593288122
NARROMI;0.20285011637607575;0.5430743243243243;0.3729622203;0 days 00:00:10.910079325
NONLINEARODES;0.18271876674317408;0.5734797297297297;0.3780992482;0 days 00:00:01.271888166
PCACMI;0.17502144728298713;0.44679054054054046;0.3109059939;0 days 00:00:06.369257708
PCIT;0.29481580955806985;0.5819256756756757;0.4383707426;0 days 00:00:14.076689267
PIDC;0.20645628335353658;0.5287162162162162;0.3675862497;0 days 00:00:15.016531770
PLSNET;0.17831415603604625;0.5168918918918919;0.3476030239;0 days 00:00:07.043734800
PUC;0.20875698872659135;0.4442567567567567;0.3265068727;0 days 00:00:09.823113251
RSNET;0.2977852852876355;0.6030405405405406;0.4504129129;0 days 00:00:12.639482689
TIGRESS;0.21905245800046524;0.6140202702702704;0.4165363641;0 days 00:00:08.244910350
