D4_10_4;D4_10_4;D4_10_4;D4_10_4
Technique;AUPR;AUROC;Mean
ARACNE;0.3032957771409509;0.6693306693306693;0.4863132232
BC3NET;0.2785412258258744;0.6348651348651349;0.4567031803
C3NET;0.2866461331603457;0.6343656343656343;0.4605058837
CLR;0.2693669584198342;0.6893106893106893;0.4793388238
CMI2NI;0.342462018071277;0.6863136863136863;0.5143878521
GENIE3_ET;0.2748511506801946;0.7162837162837163;0.4955674334
GENIE3_RF;0.299590517450636;0.6853146853146853;0.4924526013
GRNBOOST2;0.3880826189509487;0.7602397602397603;0.5741611895
GRNVBEM;0.2298801348575494;0.6853146853146854;0.45759741
INFERELATOR;0.337893254010859;0.7982017982017982;0.5680475261
JUMP3;0.2801645027836594;0.7022977022977024;0.4912311025
KBOOST;0.3411509871070631;0.7382617382617382;0.5397063626
LEAP;0.2749279804362132;0.6673326673326674;0.4711303238
LOCPCACMI;0.308520574500233;0.6283716283716283;0.4684461014
MEOMI;0.234967166797309;0.6503496503496504;0.4426584085
MRNETB;0.3169980579862397;0.6718281718281719;0.4944131149
MRNET;0.3173001009225881;0.7117882117882117;0.5145441563
NARROMI;0.2337710025877767;0.5384615384615385;0.3861162705
NONLINEARODES;0.3509909516405939;0.7672327672327672;0.5591118594
PCACMI;0.2781741830118665;0.6433566433566433;0.4607654131
PCIT;0.2562414766875783;0.5394605394605395;0.397851008
PIDC;0.3198641938861093;0.7142857142857143;0.517074954
PLSNET;0.2733559829503207;0.6863136863136863;0.4798348346
PUC;0.3414662619307478;0.7222777222777224;0.5318719921
RSNET;0.3314184740092517;0.6813186813186813;0.5063685776
TIGRESS;0.1500178274653372;0.4915084915084915;0.3207631594
BEST_GENECI;0.3556117065522854;0.7622377622377623;0.5589247343950239
MEDIAN_GENECI;0.3493489310651046;0.7552447552447552;0.5522968431549299
MEAN;0.4078783908019194;0.7842157842157842;0.5960470875088518
MEDIAN;0.3168528408812007;0.7062937062937062;0.5115732735874534
