sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0470274929527586;0.549769226357934;0.2983983596
BC3NET;0.0716895312289651;0.579819234592842;0.3257543829
C3NET;0.0406554294297964;0.534522620298333;0.2875890248
CLR;0.106447179013551;0.700997772080788;0.4037224755
GENIE3_ET;0.0906418128723752;0.687861036783137;0.3892514248
GENIE3_RF;0.102973678411995;0.687338711954061;0.3951561951
GRNBOOST2;0.100534281831444;0.710852570588859;0.4056934262
INFERELATOR;0.0651438888730578;0.59699044181009;0.3310671653
KBOOST;0.0426969088368067;0.591639587259578;0.317168248
LEAP;0.0575539499361823;0.672058621910628;0.3648062859
MEOMI;0.0383197570928176;0.545090646651051;0.2917052018
MRNETB;0.0755022943143268;0.700252262890669;0.3878772786
MRNET;0.0788736416231301;0.701784614052462;0.3903291278
NARROMI;0.0488548280698664;0.554193542996663;0.3015241855
PCACMI;0.0566186413652065;0.715644831269205;0.3861317363
PCIT;0.0199502487562189;0.5;0.2599751243
PIDC;0.0688876361740326;0.656499139986979;0.362693388
PLSNET;0.0363340401628102;0.550707474169543;0.2935207571
PUC;0.0709557787316524;0.647054504456661;0.3590051415
RSNET;0.0673099913490969;0.678596353929633;0.3729531726
BEST_GENECI;0.102478702507938;0.730726359389612;0.416602530948775
MEDIAN_GENECI;0.0948850733228379;0.709440166779356;0.4021626200510969
MEAN;0.0872796463382955;0.687724695571088;0.38750217095469175
MEDIAN;0.0974745361964391;0.724979646928164;0.4112270915623015
