sim_eipo-modular_size-100_knockdown_exp;sim_eipo-modular_size-100_knockdown_exp;sim_eipo-modular_size-100_knockdown_exp;sim_eipo-modular_size-100_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.108943159553419;0.596416048047152;0.3526796038
BC3NET;0.166298270483257;0.631408657253702;0.3988534638
C3NET;0.0873025561233666;0.56806757563323;0.3276850658
CLR;0.221603665969598;0.828411189241616;0.5250074276
CMI2NI;0.217994727525359;0.826033661916664;0.5220141947
GENIE3_ET;0.243862201135517;0.848579662028575;0.5462209315
GENIE3_RF;0.242232120817399;0.849164863655016;0.5456984922
GRNBOOST2;0.218698171158909;0.842515481031074;0.530606826
GRNVBEM;0.0358955022204477;0.498327162681389;0.2671113324
INFERELATOR;0.179968899851222;0.687002228895438;0.4334855643
KBOOST;0.153319801695448;0.693444109747454;0.4233819557
LEAP;0.19390086965004;0.768716543253628;0.4813087064
LOCPCACMI;0.232028560627523;0.834949243667699;0.5334889021
MEOMI;0.0820794049911814;0.567084856567314;0.3245821307
MRNETB;0.203500245071992;0.808481693214459;0.5059909691
MRNET;0.200712843221184;0.800265555638453;0.5004891994
NARROMI;0.142490630920579;0.622534459283023;0.3825125451
NONLINEARODES;0.0626887430311676;0.648533965009139;0.355611354
PCACMI;0.221034791254426;0.821344471593241;0.5211896314
PCIT;0.0348514851485149;0.5;0.2674257425
PIDC;0.160506290932725;0.771914751743947;0.4662105213
PLSNET;0.142057606734938;0.789972068862611;0.4660148377
PUC;0.178644604939702;0.769812921997986;0.4742287634
RSNET;0.174090809767784;0.701495877942328;0.4377933438
TIGRESS;0.229468011637426;0.824497799082329;0.5269829053
BEST_GENECI;0.241106645428414;0.870081741709255;0.5555941935688345
MEDIAN_GENECI;0.230422500101254;0.848810478606334;0.539616489353794
MEAN;0.257170946597319;0.858621348901406;0.5578961477493625
MEDIAN;0.237499067547898;0.854176381169098;0.545837724358498
