sim_eipo-modular_size-100_knockout_exp;sim_eipo-modular_size-100_knockout_exp;sim_eipo-modular_size-100_knockout_exp;sim_eipo-modular_size-100_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.129751687792747;0.588101988286642;0.358926838
BC3NET;0.154615882897018;0.650252849069273;0.4024343659
C3NET;0.119888949880954;0.570904404633118;0.3453966772
CLR;0.225918782892004;0.827201150818816;0.5265599668
CMI2NI;0.193941054498978;0.823548303614728;0.508744679
GENIE3_ET;0.209413159335298;0.866265107994181;0.5378391336
GENIE3_RF;0.229910636786505;0.865055069571381;0.5474828531
GRNBOOST2;0.228583726254305;0.836602846271496;0.5325932862
GRNVBEM;0.037632669624397;0.509869740179804;0.2737512049
INFERELATOR;0.147073941257772;0.686902558100496;0.4169882496
KBOOST;0.124388157177901;0.662124165329951;0.3932561612
LEAP;0.148772240598859;0.742089286380423;0.4454307634
LOCPCACMI;0.193332226050199;0.829558860558809;0.5114455433
MEOMI;0.0875021571270881;0.575967797590182;0.3317349773
MRNETB;0.249156836051488;0.808289346066326;0.528723091
MRNET;0.236137008130318;0.796534020964673;0.5163355145
NARROMI;0.0894335088935021;0.583646528891707;0.3365400188
NONLINEARODES;0.0533974690505352;0.628290884843511;0.3408441769
PCACMI;0.178461717434809;0.800318596821726;0.4893901571
PCIT;0.0348514851485149;0.5;0.2674257425
PIDC;0.143813864869384;0.79623908867087;0.4700264767
PLSNET;0.154106865727675;0.796628445928302;0.4753676558
PUC;0.166550219100261;0.793914019659044;0.4802321193
RSNET;0.170131721369821;0.751548685977543;0.4608402036
TIGRESS;0.218792630250902;0.836714174469355;0.5277534023
BEST_GENECI;0.251419268625534;0.869589799306151;0.5605045339658425
MEDIAN_GENECI;0.248710354697301;0.861988006863879;0.55534918078059
MEAN;0.235363681302652;0.864049035699631;0.5497063585011415
MEDIAN;0.220798933082509;0.854262645950685;0.537530789516597
