syntren300_exp;syntren300_exp;syntren300_exp;syntren300_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0065468963897671;0.614258787328429;0.3104028418
BC3NET;0.0056084737898598;0.532068527192907;0.2688385004
C3NET;0.0064777477509446;0.536429199581675;0.2714534736
CLR;0.0130227471785296;0.728074085734468;0.3705484164
KBOOST;0.004603072376629;0.448113844528179;0.2263584584
LEAP;0.0077990621754231;0.735733546750067;0.3717663044
MRNETB;0.0101201783645488;0.717090309282509;0.3636052438
MRNET;0.011842025344331;0.74541151659345;0.3786267709
NARROMI;0.0071531467057056;0.555455024046412;0.2813040853
PCIT;0.0031229235880398;0.5;0.2515614617
PIDC;0.0053720985952728;0.50504658721526;0.2552093429
PUC;0.003675326867397;0.361464271369524;0.1825697991
RSNET;0.0101631729942934;0.46375106381403;0.2369571184
BEST_GENECI;0.0066529911814932;0.611440911187345;0.3090469511844191
MEDIAN_GENECI;0.0063889369803346;0.559071479636303;0.2827302083083188
MEAN;0.00636795195628853;0.56741512217651;0.28689153706639925
MEDIAN;0.00870722586508954;0.699973559267658;0.3543403925663738
