D3_10_Ecoli2;D3_10_Ecoli2;D3_10_Ecoli2;D3_10_Ecoli2;D3_10_Ecoli2
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.18517684074891283;0.524;0.3545884203;0 days 00:00:00.261341003
BC3NET;0.21577136869269675;0.48044444444444445;0.3481079065;0 days 00:00:21.535112293
C3NET;0.18321586238135595;0.5217777777777778;0.3524968200;0 days 00:00:00.370514885
CLR;0.15988932204210285;0.4542222222222222;0.3070557721;0 days 00:00:00.266181600
CMI2NI;0.26699316423073266;0.5511111111111111;0.4090521376;0 days 00:00:06.139494992
GENIE3_ET;0.21911086358593104;0.6506666666666667;0.4348887651;0 days 00:00:07.726671030
GENIE3_RF;0.23915669985768995;0.6897777777777778;0.4644672388;0 days 00:00:09.474887623
GRNBOOST2;0.30199617217006436;0.6933333333333334;0.4976647527;0 days 00:00:03.963323583
GRNVBEM;0.16665941598834516;0.5155555555555555;0.3411074857;0 days 00:00:06.477597022
INFERELATOR;0.23736942994056712;0.6471111111111111;0.4422402705;0 days 00:07:01.887465351
JUMP3;0.24165095921927807;0.6897777777777778;0.4657143684;0 days 00:00:47.832910121
KBOOST;0.23924718477130794;0.6479999999999999;0.4436235923;0 days 00:00:00.336401671
LEAP;0.1820285827342181;0.5591111111111111;0.3705698469;0 days 00:00:00.362994266
LOCPCACMI;0.14817249575683808;0.46799999999999997;0.3080862478;0 days 00:00:07.424739897
MEOMI;0.18087577208109265;0.5213333333333334;0.3511045527;0 days 00:00:14.303566811
MRNETB;0.1685035826719447;0.46311111111111103;0.3158073468;0 days 00:00:00.280929149
MRNET;0.17851552182467473;0.5115555555555555;0.3450355386;0 days 00:00:00.550475272
NARROMI;0.17521434526936994;0.5297777777777778;0.3524960615;0 days 00:00:10.683572866
NONLINEARODES;0.18462880568889414;0.5413333333333334;0.3629810695;0 days 00:00:01.303312969
PCACMI;0.14132068630787645;0.368;0.2546603431;0 days 00:00:06.342926224
PCIT;0.16261611608440305;0.4862222222222222;0.3244191691;0 days 00:00:14.105166563
PIDC;0.19670156277656325;0.615111111111111;0.4059063369;0 days 00:00:14.183235492
PLSNET;0.32003603596626684;0.6462222222222223;0.4831291290;0 days 00:00:08.627964705
PUC;0.20472069936993606;0.624;0.4143603496;0 days 00:00:09.534736252
RSNET;0.16247362485856995;0.5315555555555556;0.3470145902;0 days 00:00:12.639622473
TIGRESS;0.4300956559875;0.6568888888888889;0.5434922724;0 days 00:00:08.124692229
