sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.29161800164226;0.497277777777778;0.3944478897;0 days 00:00:00.268037967
BC3NET;0.319238780375419;0.542055555555556;0.4306471679;0 days 00:00:04.586963883
C3NET;0.30921682128623;0.515555555555556;0.4123861884;0 days 00:00:00.423828937
CLR;0.295236855690905;0.531222222222222;0.4132295389;0 days 00:00:00.234383624
CMI2NI;0.357655607618539;0.578333333333333;0.4679944704;0 days 00:00:25.038476344
GENIE3_ET;0.335958177785423;0.600111111111111;0.4680346444;0 days 00:00:11.865073548
GENIE3_RF;0.361060520145728;0.623777777777778;0.4924191489;0 days 00:00:14.071827186
GRNBOOST2;0.326787556494229;0.552555555555556;0.4396715560;0 days 00:00:03.798580723
GRNVBEM;0.330936185558141;0.566666666666667;0.4488014261;0 days 00:00:06.275294721
INFERELATOR;0.327034791197488;0.592222222222222;0.4596285067;0 days 00:08:30.073340950
JUMP3;0.385073087950021;0.658222222222222;0.5216476550;0 days 00:00:41.052585703
KBOOST;0.347705978926605;0.606666666666667;0.4771863227;0 days 00:00:00.302068807
LEAP;0.36117602899866;0.636111111111111;0.4986435700;0 days 00:00:00.305406249
LOCPCACMI;0.3127268586275;0.536666666666667;0.4246967626;0 days 00:00:07.980018258
MEOMI;0.272686680910726;0.478555555555556;0.3756211182;0 days 00:00:09.005435196
MRNETB;0.330132846030953;0.550333333333333;0.4402330896;0 days 00:00:00.275490900
MRNET;0.323913094796381;0.536555555555556;0.4302343251;0 days 00:00:00.637028386
NARROMI;0.296756010675141;0.511277777777778;0.4040168942;0 days 00:00:11.134191675
NONLINEARODES;0.371628313938995;0.628555555555556;0.5000919347;0 days 00:00:01.543681868
PCACMI;0.3312441651403;0.569777777777778;0.4505109714;0 days 00:00:07.538647885
PCIT;0.285714285714286;0.5;0.3928571428;0 days 00:00:13.399326208
PIDC;0.407230043344668;0.588833333333333;0.4980316883;0 days 00:00:09.322196114
PLSNET;0.31935788972342;0.570111111111111;0.4447345004;0 days 00:00:09.508566981
PUC;0.39202006011439;0.583;0.4875100300;0 days 00:00:09.861195268
RSNET;0.280206163948956;0.506444444444444;0.3933253041;0 days 00:00:12.085944764
TIGRESS;0.341121337420204;0.614388888888889;0.4777551131;0 days 00:00:15.704538633
