sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp;sim_scale-free_size-20_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.29161800164226;0.497277777777778;0.3944478897
BC3NET;0.319238780375419;0.542055555555556;0.4306471679
C3NET;0.30921682128623;0.515555555555556;0.4123861884
CLR;0.295236855690905;0.531222222222222;0.4132295389
CMI2NI;0.357655607618539;0.578333333333333;0.4679944704
GENIE3_ET;0.335958177785423;0.600111111111111;0.4680346444
GENIE3_RF;0.361060520145728;0.623777777777778;0.4924191489
GRNBOOST2;0.326787556494229;0.552555555555556;0.439671556
GRNVBEM;0.330936185558141;0.566666666666667;0.4488014261
INFERELATOR;0.327034791197488;0.592222222222222;0.4596285067
JUMP3;0.385073087950021;0.658222222222222;0.521647655
KBOOST;0.347705978926605;0.606666666666667;0.4771863227
LEAP;0.36117602899866;0.636111111111111;0.49864357
LOCPCACMI;0.3127268586275;0.536666666666667;0.4246967626
MEOMI;0.272686680910726;0.478555555555556;0.3756211182
MRNETB;0.330132846030953;0.550333333333333;0.4402330896
MRNET;0.323913094796381;0.536555555555556;0.4302343251
NARROMI;0.296756010675141;0.511277777777778;0.4040168942
NONLINEARODES;0.371628313938995;0.628555555555556;0.5000919347
PCACMI;0.3312441651403;0.569777777777778;0.4505109714
PCIT;0.285714285714286;0.5;0.3928571428
PIDC;0.407230043344668;0.588833333333333;0.4980316883
PLSNET;0.31935788972342;0.570111111111111;0.4447345004
PUC;0.39202006011439;0.583;0.48751003
RSNET;0.280206163948956;0.506444444444444;0.3933253041
TIGRESS;0.341121337420204;0.614388888888889;0.4777551131
BEST_GENECI;0.367174756967868;0.634222222222222;0.500698489595045
MEDIAN_GENECI;0.351392993538394;0.602444444444444;0.476918718991419
MEAN;0.369580326813385;0.642555555555556;0.5060679411844705
MEDIAN;0.350757409993102;0.602555555555556;0.476656482774329
