D4_10_3;D4_10_3;D4_10_3;D4_10_3
Technique;AUPR;AUROC;Mean
ARACNE;0.2771131704727659;0.5617777777777778;0.4194454741
BC3NET;0.1936306935130352;0.5671111111111111;0.3803709023
C3NET;0.2624778055613536;0.5262222222222223;0.3943500138
CLR;0.2693458661063784;0.5946666666666667;0.4320062663
CMI2NI;0.2491280180725825;0.6177777777777778;0.4334528979
GENIE3_ET;0.2481969915365433;0.648;0.4480984957
GENIE3_RF;0.3653983954281484;0.6817777777777778;0.5235880866
GRNBOOST2;0.3363706685352069;0.7075555555555555;0.521963112
GRNVBEM;0.2534343582850817;0.5777777777777777;0.415606068
INFERELATOR;0.2433219133316383;0.5813333333333333;0.4123276233
JUMP3;0.3688439873732043;0.6835555555555555;0.5261997714
KBOOST;0.2532615194027117;0.576;0.4146307597
LEAP;0.2988083777859266;0.6311111111111111;0.4649597444
LOCPCACMI;0.2093385004010712;0.5537777777777778;0.381558139
MEOMI;0.1781607667873148;0.5266666666666666;0.3524137167
MRNETB;0.2936312912697278;0.6302222222222221;0.4619267567
MRNET;0.2743735034025417;0.5422222222222223;0.4082978628
NARROMI;0.2217204268938417;0.5702222222222222;0.3959713245
NONLINEARODES;0.1574405965313906;0.4862222222222222;0.3218314093
PCACMI;0.2473317520574361;0.4995555555555556;0.3734436538
PCIT;0.2083688215647319;0.5648888888888889;0.3866288552
PIDC;0.2396194295734828;0.6106666666666667;0.4251430481
PLSNET;0.2983701065394436;0.648;0.4731850532
PUC;0.2290332089190241;0.6106666666666667;0.4198499377
RSNET;0.2506039241183148;0.648;0.449301962
TIGRESS;0.1673952511527363;0.487111111111111;0.3272531811
BEST_GENECI;0.3435429348341359;0.6719999999999999;0.5077714674170679
MEDIAN_GENECI;0.3068802397518966;0.6648888888888889;0.4858845643203927
MEAN;0.3244519005717238;0.6764444444444444;0.500448172508084
MEDIAN;0.2911082604024143;0.6044444444444445;0.4477763524234294
