D4_10_3;D4_10_3;D4_10_3;D4_10_3;D4_10_3
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.27711317047276596;0.5617777777777778;0.4194454741;0 days 00:00:00.269175517
BC3NET;0.1936306935130352;0.5671111111111111;0.3803709023;0 days 00:00:22.783899572
C3NET;0.26247780556135364;0.5262222222222223;0.3943500138;0 days 00:00:00.365204561
CLR;0.26934586610637845;0.5946666666666667;0.4320062663;0 days 00:00:00.270058511
CMI2NI;0.2491280180725825;0.6177777777777778;0.4334528979;0 days 00:00:05.938756837
GENIE3_ET;0.24819699153654334;0.648;0.4480984957;0 days 00:00:08.136849825
GENIE3_RF;0.36539839542814845;0.6817777777777778;0.5235880866;0 days 00:00:09.181756041
GRNBOOST2;0.3363706685352069;0.7075555555555555;0.5219631120;0 days 00:00:03.898539171
GRNVBEM;0.2534343582850817;0.5777777777777777;0.4156060680;0 days 00:00:06.621384657
INFERELATOR;0.2433219133316383;0.5813333333333333;0.4123276233;0 days 00:06:58.924998054
JUMP3;0.36884398737320434;0.6835555555555555;0.5261997714;0 days 00:03:22.726881970
KBOOST;0.2532615194027117;0.576;0.4146307597;0 days 00:00:00.325281801
LEAP;0.2988083777859266;0.6311111111111111;0.4649597444;0 days 00:00:00.421247050
LOCPCACMI;0.20933850040107121;0.5537777777777778;0.3815581390;0 days 00:00:07.351560485
MEOMI;0.17816076678731485;0.5266666666666666;0.3524137167;0 days 00:00:14.336890072
MRNETB;0.29363129126972787;0.6302222222222221;0.4619267567;0 days 00:00:00.272050959
MRNET;0.27437350340254174;0.5422222222222223;0.4082978628;0 days 00:00:00.645583738
NARROMI;0.2217204268938417;0.5702222222222222;0.3959713245;0 days 00:00:10.654468770
NONLINEARODES;0.1574405965313906;0.4862222222222222;0.3218314093;0 days 00:00:01.358298196
PCACMI;0.24733175205743613;0.49955555555555564;0.3734436538;0 days 00:00:06.389717642
PCIT;0.2083688215647319;0.5648888888888889;0.3866288552;0 days 00:00:14.038210118
PIDC;0.2396194295734828;0.6106666666666667;0.4251430481;0 days 00:00:14.965081876
PLSNET;0.2983701065394436;0.648;0.4731850532;0 days 00:00:08.650061480
PUC;0.22903320891902418;0.6106666666666667;0.4198499377;0 days 00:00:09.590075923
RSNET;0.2506039241183148;0.648;0.4493019620;0 days 00:00:13.524161877
TIGRESS;0.16739525115273635;0.48711111111111105;0.3272531811;0 days 00:00:08.113828203
