D4_100_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D4_100_1,0.5567740665083578,0.562449165139673,0.5345241740211659,0.6962818681986462,0.7359549708313078,0.7664179069593509,0.757261789013126,0.7700365309823866,0.7525125275793726,0.6176955564488987,0.6134955452301709,0.6394972841329793,0.7271877103511462,0.5185491730862721,0.6847914368385624,0.6770914162708948,0.6010637924909314,0.5948216222280394,0.5128913115627689,0.6171986018660482,0.7490376435062265,0.6558345564862945,0.7513924077259639,0.6435360261396355,0.6554392716240975,0.7900713090385552,0.7764084177854231
D4_100_2,0.5412109530235749,0.5312394537220477,0.5179690890803916,0.6290989260117874,0.6118545261764082,0.6729652003517125,0.6924067631004798,0.6990394486452701,0.6234666153995321,0.548713556952918,0.5233571317702683,0.5440248196183346,0.5998005075945684,0.4987653442492382,0.6333900517623285,0.6322490251129894,0.5462226067257321,0.5407251220195255,0.4719391502389207,0.5648681140477356,0.6434495624191928,0.5327837097015145,0.6495200572261068,0.5866940979127369,0.5687834750045668,0.6677669126407194,0.6576649567912101
D4_100_3,0.5589516374060424,0.590419160094585,0.5521927634446955,0.7078571711647446,0.6858854146025706,0.7276883446280664,0.7438322831213093,0.7095005218034582,0.6685676164810631,0.6173312725399279,0.5764144836787806,0.6350567378697209,0.6805054227929036,0.5091081784435725,0.7168987701290638,0.7123687234970077,0.6023001624856339,0.6028787698648597,0.4699095100331573,0.6148881755373254,0.6865596639321525,0.5863543772044546,0.682031202525793,0.6493174282355116,0.6559045694130703,0.7254753695557404,0.7183281152987488
D4_100_4,0.5524878214851552,0.5536786476480143,0.5399925845452334,0.6653680653146996,0.653517767498101,0.7096013019112406,0.7134508816613748,0.7013993002275996,0.6924699383040032,0.6147783752425553,0.5247231555401419,0.6385269071928443,0.6496542470843225,0.507695490904573,0.666688515192144,0.6622042683866348,0.5915512730271636,0.5724721296784989,0.4892759610620145,0.5988344137755277,0.6652259683747486,0.615652968456436,0.6562491592801529,0.6126730904592543,0.6204554047952948,0.6925535822858677,0.6841246168151797
D4_100_5,0.5825818235972011,0.5919308804980755,0.5621662909785203,0.6768316865506491,0.6869744658387116,0.7568209683626632,0.773696776697122,0.7671641799011557,0.6933306502278416,0.6280564583754795,0.5170554233871074,0.6133824690370872,0.6884722365303388,0.5039437914308941,0.6798024074288571,0.6786315734972519,0.6040531617853897,0.6095803946833944,0.4894627615027026,0.633895949240199,0.7133503892015324,0.6021299729750069,0.6989918604756677,0.6204533772166979,0.6461679542192456,0.7352991885029285,0.7242415200611063
D3_100_Ecoli1,0.5511635805626598,0.5482332480818415,0.5412562659846547,0.6589552941176471,0.6654158567774935,0.6632667007672635,0.6743701278772378,0.634298925831202,0.6132722250639386,0.5866500255754474,0.497518158567775,0.6422756010230178,0.644091253196931,0.5086850127877238,0.6422084910485935,0.6352462404092072,0.5970168797953963,0.4790760102301791,0.4475470076726341,0.5971633759590793,0.6078174936061379,0.5331584654731458,0.6142911508951405,0.6729297186700767,0.6330111508951407,0.6506737595907928,0.651386598465473
D3_100_Ecoli2,0.5323333095634737,0.5285831130325557,0.5189116439950892,0.5909167061160424,0.597749538420828,0.5820726000245716,0.5984652116648723,0.5655631437729983,0.5939168633407764,0.541099232863578,0.506034250935831,0.5780758269978066,0.5786531768417418,0.4991919679639568,0.6045389835721631,0.6001800781656084,0.561902299003642,0.5299298330926276,0.3920235510623839,0.5878894856173734,0.5669575467442883,0.5075446393668396,0.5782450798538411,0.5833226655348777,0.5606290364013922,0.6053856774281127,0.5814497151483023
D3_100_Yeast1,0.5529973809352882,0.5262887382692883,0.5232101613769646,0.5552825644059706,0.505647203566681,0.6350848225447507,0.6470315203695406,0.6459664423050742,0.5984191543243033,0.5862976252658054,0.4934337720720564,0.5355879032876938,0.5162032968529141,0.5058139894692804,0.5478208292384661,0.5505153962882556,0.5347821324335765,0.505593361735415,0.4710906498399602,0.5133110003193377,0.5957920442815022,0.5700841170310995,0.599674844848884,0.4995305858733888,0.5154652924415972,0.5952740487324273,0.5787464631486702
D3_100_Yeast2,0.521588046204922,0.5167385673576721,0.5165397716998772,0.521017741870528,0.4785080406153988,0.535504688253001,0.5549001710642716,0.5486760155133591,0.5519402645401251,0.532402205645256,0.4691823484591919,0.4734017896744643,0.4630619828914105,0.5012268300349834,0.5115570416503255,0.5130452386480381,0.5174177971170711,0.5321188103397527,0.4755340791977034,0.4909014835751002,0.5394797905496517,0.544729563576635,0.5356849692914092,0.49228643116251,0.5154402465660789,0.5355565832445669,0.519796993279869
D3_100_Yeast3,0.5125637242179109,0.5052613913500268,0.5107714578400517,0.5284004092948205,0.4979460520540547,0.520433195588142,0.5226508886399335,0.5279557641674459,0.5271996442062477,0.5125330523427198,0.4720630660344117,0.5002952653301622,0.495930638077891,0.503816027763095,0.5245505065809614,0.5283577016205037,0.5172891342552626,0.420898883951407,0.4842650368382813,0.5084470926653646,0.5199028439234451,0.5445711848603626,0.5210780814703245,0.50590016226975,0.4907658243095575,0.5199018732944838,0.514632522786971
