D4_10_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,JUMP3,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp,0.5532486001,0.6207342325,0.5867319214,0.5743171857,0.7000320866,0.5977746955,0.4863251483,0.4910250628,0.4486760151,0.6147176087,0.4139238519,0.6787375693,0.5091245991,0.7192943031,0.6347865236,0.5430257722,0.5430257722,0.5517047436,0.3906487855,0.7000320866,0.4642857142,0.4031856411,0.5497667116,0.3716031395,0.7000320866,0.5772933744,0.6806505543973069,0.6806505543973069
sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp,0.309862436,0.2690278038,0.285222666,0.3106562723,0.501306,0.2371299542,0.3341540393,0.3472780549,0.440637922,0.4247412709,0.2532189074,0.7099928497,0.3496986076,0.5301305133,0.2450002776,0.3141486917,0.3254516743,0.2732811756,0.2383763873,0.501306,0.2826797385,0.4431986224,1.0,0.4104763211,0.5109605471,0.2677873149,0.461598062185719,0.3894964721135227
sim_BioGrid_Vaccinia_Virus_mixed_exp,0.5126438342,0.6214659351,0.5021525082,0.5589443812,0.5486524841,0.5317957505,0.4704034956,0.3857729092,0.4089766288,0.5898962034,0.3044425799,0.4335102646,0.4694750163,0.533278379,0.3379423265,0.5440383916,0.5001605063,0.6046107464,0.3315680484,0.5465277251,0.2884615384,0.4512373622,0.4171818956,0.4567544867,0.604318976,0.5711995061,0.6014534268687415,0.4997028035682975
sim_BioGrid_Zea_mays_mixed_exp,0.6948803953,0.774400452,0.6735789984,0.6954577781,0.7120033743,0.558261037,0.6167743917,0.4531891884,0.2468742256,0.7122666294,0.2640294382,0.4623127977,0.3433810744,0.7347897588,0.5804247461,0.6898212544,0.6789998062,0.6469588097,0.3207796129,0.7120033743,0.2673160173,0.4286929956,0.6347049692,0.3927630702,0.7120033743,0.7249764783,0.730360030476116,0.716426216190442
sim_eipo-modular_size-20_knockdown_exp,0.5292256522,0.4921808512,0.4974119294,0.6416514015,0.7106515378,0.6854337944,0.6552121628,0.4635142309,0.2929236849,0.7053856692,0.4587073809,0.5235557944,0.5481006156,0.6034485267,0.5227641149,0.5995833908,0.6075552613,0.4053128835,0.4331142861,0.7079526364,0.3404761904,0.4068154422,0.5388989747,0.410178953,0.4441301756,0.6658581033,0.575220208213017,0.559844376813859
sim_eipo-modular_size-20_knockout_exp,0.5209000144,0.4647714262,0.4659666826,0.6015847497,0.6361750957,0.6964691145,0.6475556965,0.4210768967,0.3207835444,0.6082564704,0.3506755337,0.5855757247,0.5204560006,0.6491561263,0.5091478051,0.5809289016,0.5752983467,0.4544764759,0.4517984759,0.6269464328,0.3404761904,0.3817889612,0.4728200969,0.3622113112,0.5206045184,0.6598327763,0.6765635123433755,0.4700106023600059
sim_eipo-modular_size-20_overexpression_exp,0.4106540364,0.4830062727,0.3858082708,0.5274856212,0.5404862787,0.5401693106,0.5256833729,0.3863126241,0.2950309026,0.6078666933,0.368911498,0.5381754621,0.5086815264,0.4833479135,0.4483887917,0.5067789871,0.5008945478,0.4066465255,0.453896748,0.5480166471,0.3404761904,0.3390790045,0.4969260376,0.3461991088,0.4208705023,0.5632070236,0.548390783283199,0.528223051183002
sim_scale-free_size-20_knockdown_exp,0.3944478897,0.4306471679,0.4123861884,0.4132295389,0.4679944704,0.4680346444,0.4924191489,0.439671556,0.4488014261,0.4596285067,0.521647655,0.4771863227,0.49864357,0.4246967626,0.3756211182,0.4402330896,0.4302343251,0.4040168942,0.5000919347,0.4505109714,0.3928571428,0.4980316883,0.4447345004,0.48751003,0.3933253041,0.4777551131,0.500698489595045,0.476918718991419
sim_scale-free_size-20_knockout_exp,0.377267589,0.4271981913,0.3778401825,0.427282845,0.5053830075,0.508381691,0.4430804021,0.4565695752,0.4111602843,0.4340337977,0.5077494361,0.5039412395,0.5249753183,0.487692267,0.408172353,0.4212645913,0.4256558621,0.423848075,0.496149955,0.5057899158,0.3928571428,0.4562559884,0.3712150907,0.5144515899,0.5200996147,0.3910179305,0.5434832182789116,0.5203423757326925
sim_scale-free_size-20_overexpression_exp,0.4216948774,0.3976671537,0.4073196485,0.4254489045,0.4688965835,0.4910265691,0.453460904,0.4224017155,0.4248376983,0.3993153115,0.4562959843,0.4168562249,0.4295155503,0.4176329436,0.3889656732,0.4194825722,0.4148622792,0.3662109751,0.5027342535,0.4698060939,0.3928571428,0.4725541601,0.4379367291,0.4791643857,0.4415093012,0.4585183694,0.5186739105003331,0.4886147828030465
sim_TFLink_Rattus_norvegicus_mixed_exp,0.8953442492,0.6329369094,0.6263045166,0.7799660689,0.6632005521,0.7142932569,0.7908642817,0.5466353308,0.1933604873,0.7495768206,0.1804207458,0.3179414627,0.6730037475,0.5774777496,0.7908642817,0.8953442492,0.8953442492,0.6284124393,0.4220838018,0.6632005521,0.2628205128,0.4764168512,0.5723050757,0.678083997,0.6632005521,0.7280625444,0.822773915461711,0.7559468322823745
IRMA_switch-off,0.3632121674,0.3424967048,0.4402825436,0.467218539,0.6142308257,0.5702141008,0.477900135,0.7675426505,0.3833333333,0.5455441562,0.4011446571,0.680402054,0.5148766139,0.4117257906,0.4117257906,0.4757195733,0.3632121674,0.3424967048,0.5816298097,0.6142308257,0.3833333333,0.4341580757,0.852797795,0.3484979522,0.6454200908,0.5926634405,0.610848084823512,0.451813619260467
IRMA_switch-on,0.5506046572,0.3424967048,0.5382895775,0.6188068076,0.5785089593,0.5576814774,0.6962787001,0.6675485245,0.3833333333,0.5083205893,0.670602082,0.6455872842,0.670602082,0.6435511901,0.5455441562,0.4920155481,0.6661948909,0.3833333333,0.5593601361,0.5785089593,0.3833333333,0.4151889956,0.7742846345,0.4151889956,0.5785089593,0.5036238753,0.6369346006441965,0.58986431831786
