sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Canis_familiaris_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_1_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_BioGrid_Sus_scrofa_mixed_exp;sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_overexpression_exp;sim_eipo-modular_size-200_overexpression_exp;sim_eipo-modular_size-200_overexpression_exp;sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockdown_exp;sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_overexpression_exp;sim_scale-free_size-200_overexpression_exp;sim_scale-free_size-200_overexpression_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp
Technique;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean;AUPR;AUROC;Mean
ARACNE;0.276332148556137;0.76928340060849;0.5228077745;0.219773266005071;0.698486019748837;0.4591296428;0.137397766866368;0.756923418440129;0.4471605926;0.0134404551140878;0.480093941575877;0.2467671983;0.260279021226127;0.815221066475689;0.5377500438;0.082137055364687;0.59713759825754;0.3396373268;0.102975539004461;0.615991453614805;0.3594834963;0.0762046854051078;0.592755213447426;0.3344799494;0.0470274929527586;0.549769226357934;0.2983983596;0.0564269067256753;0.55908695189282;0.3077569293;0.050248654577732;0.552234888184382;0.3012417713;0.180402469225372;0.70964163443155;0.4450220518
BC3NET;0.370154428229503;0.91543211377944;0.642793271;0.017161916185443;0.510930047694754;0.2640459819;0.0720285821949215;0.597232634137821;0.3346306081;0.0110115785959521;0.49993876301286;0.2554751708;0.350974846595084;0.843260713876857;0.5971177802;0.111054257823814;0.613156713899509;0.3621054858;0.107660049825128;0.617477978540365;0.3625690141;0.129979744104688;0.647325498139681;0.3886526211;0.0716895312289651;0.579819234592842;0.3257543829;0.0653933160304185;0.579045051972333;0.322219184;0.07070419324575;0.580733556230749;0.3257188747;0.0731044761058899;0.572575696945445;0.3228400865
C3NET;0.285570707311416;0.774180193079877;0.5298754501;0.158003159149827;0.626267119791135;0.3921351394;0.106954681014188;0.674617528894582;0.3907861049;0.0147936704232795;0.505211873246166;0.2600027718;0.24129772034628;0.76065530562204;0.5009765129;0.0662122299906151;0.571545415925499;0.3188788229;0.0760028372211527;0.578491482801402;0.32724716;0.0596572237736713;0.563268920915858;0.3114630723;0.0406554294297964;0.534522620298333;0.2875890248;0.0507768326937485;0.547260396144012;0.2990186144;0.0436642747942877;0.538271307365375;0.290967791;0.153179454691107;0.648038659908408;0.4006090572
CLR;0.270688109264601;0.959496372217563;0.6150922407;0.16535273126309;0.755898397047884;0.4606255641;0.135781535981649;0.813065882558444;0.4744237092;0.0104589347490251;0.495189195372906;0.252824065;0.33278542661424;0.898272414812133;0.6155289207;0.19435110780557;0.814263359804547;0.5043072338;0.216616872132356;0.834895125343732;0.5257559987;0.191555576778315;0.827280376346412;0.5094179765;0.106447179013551;0.700997772080788;0.4037224755;0.089737417991651;0.683911888890394;0.3868246534;0.108269266425902;0.706087654107029;0.4071784602;0.197272251181844;0.787187097061047;0.4922296741
GENIE3_ET;0.210143453106439;0.919894270313942;0.5650188617;0.077720515972921;0.809647613074488;0.4436840645;0.0805795520293071;0.824291646045009;0.452435599;0.0090197934314921;0.407073881415584;0.2080468374;0.242607234996827;0.92835140610898;0.5854793205;0.148677781086376;0.828099043242726;0.4883884121;0.181866335237779;0.86717515900515;0.5245207471;0.165574120546898;0.873086509487567;0.519330315;0.0906418128723752;0.687861036783137;0.3892514248;0.0737851131186672;0.684497193991518;0.3791411535;0.0738269632350392;0.684791903686644;0.3793094334;0.115468274479803;0.733371126228269;0.4244197003
GENIE3_RF;0.243987182256797;0.920960767497269;0.5824739748;0.0990040236149002;0.781492393634865;0.4402482086;0.0821190661577376;0.827472233543917;0.4547956498;0.0094653063973848;0.413674017348237;0.2115696618;0.216066537101721;0.931748537715882;0.5739075374;0.16237281880932;0.830344969102724;0.4963588939;0.192393314066545;0.872147319111425;0.5322703165;0.166031836275045;0.860443836813818;0.5132378365;0.102973678411995;0.687338711954061;0.3951561951;0.092305474432226;0.670266690753192;0.3812860825;0.0963453190364241;0.683431782997453;0.389888551;0.141535214670282;0.720708561202259;0.4311218879
GRNBOOST2;0.201487649155936;0.875518575663137;0.5385031124;0.0932271750867984;0.734490453756509;0.4138588144;0.0656244333913585;0.774839696934409;0.4202320651;0.0411822086278517;0.565677678108786;0.3034299433;0.164941670830192;0.873412919216956;0.519177295;0.172629977820576;0.838374373810131;0.5055021758;0.192226745866917;0.864800125371889;0.5285134356;0.158286210289322;0.853009289304286;0.5056477497;0.100534281831444;0.710852570588859;0.4056934262;0.0852430571002589;0.705573367965942;0.3954082125;0.0966811214307618;0.690599950704487;0.393640536;0.116581472265633;0.727961740251656;0.4222716062
INFERELATOR;0.0887719068290795;0.678433385961999;0.3836026463;0.184080667842622;0.712117493910532;0.4480990808;0.129869838842959;0.743801675449067;0.4368357571;0.0093229563619541;0.458481322718922;0.2339021395;0.303693597454492;0.888926309399884;0.5963099534;0.147062098833442;0.702621258638718;0.4248416787;0.149423545032666;0.727846788629561;0.4386351668;0.155398730940161;0.72201049920894;0.438704615;0.0651438888730578;0.59699044181009;0.3310671653;0.0715046480810919;0.624577130198515;0.3480408891;0.0638387149155089;0.59612802351196;0.3299833692;0.163768007431097;0.721963785514206;0.4428658964
KBOOST;0.0413143730656744;0.485217619358325;0.2632659962;0.0343127825179444;0.562603739735418;0.2984582611;0.0408154931876003;0.612296755364057;0.3265561242;0.0092375836943473;0.328148153132844;0.1686928684;0.127527273200469;0.680182422772496;0.4038548479;0.0962257088958111;0.661935004125268;0.3790803565;0.0970007816113466;0.648334599001557;0.3726676903;0.100061351549113;0.654407471549248;0.3772344115;0.0426969088368067;0.591639587259578;0.317168248;0.0470555819760221;0.625608550834701;0.3363320664;0.0469374372485511;0.5935400090565;0.3202387231;0.0626454826985554;0.550659708327776;0.3066525955
