gnw2000_exp,ARACNE,BC3NET,C3NET,CLR,KBOOST,LEAP,MRNETB,MRNET,NARROMI,PCIT,RSNET,BEST_GENECI,MEDIAN_GENECI
gnw2000_exp,0.5412636592,0.4216368888,0.4901570142,0.496596885,0.597808946,0.3778391525,0.4468977308,0.5492552224,0.2843246998,0.2512983508,0.4297249408,0.6118352082474869,0.5150314280228355
sim_RegulonDB_Escherichia_coli_mixed_exp,0.2946583202,0.3184388998,0.2876185953,0.5297404605,0.3068147475,0.4184361989,0.4894334466,0.4936407254,0.3242387179,0.2504119775,0.498171434,0.5052006188267345,0.4943905687560258
