gnw1565_exp;gnw1565_exp;gnw1565_exp;gnw1565_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.367394186506896;0.698278003271693;0.5328360948
BC3NET;0.248779950296259;0.648337647933521;0.4485587991
C3NET;0.275237443444729;0.655312246817042;0.4652748451
CLR;0.300400577340596;0.852782140705595;0.576591359
KBOOST;0.336914232126686;0.707389513105602;0.5221518726
LEAP;0.0705787516884891;0.691155044405192;0.380866898
MRNETB;0.134501531405521;0.85197560339891;0.4932385674
MRNET;0.31293708584879;0.855065853534519;0.5840014696
NARROMI;0.0836726364294274;0.581526078958167;0.3325993576
PCIT;0.0029639422390331;0.5;0.2514819711
PIDC;0.0779572664797399;0.856376678195672;0.4671669723
PUC;0.186354632943194;0.847562948961012;0.5169587909
RSNET;0.109000194060486;0.799656262576048;0.4543282283
BEST_GENECI;0.292942853598357;0.862290212909848;0.5776165332541024
MEDIAN_GENECI;0.105658979322019;0.857233205212468;0.4814460922672435
MEAN;0.293722602909121;0.860748248727562;0.5772354258183414
MEDIAN;0.334995554461378;0.841463062904465;0.5882293086829216
