D3_10_Yeast3;D3_10_Yeast3;D3_10_Yeast3;D3_10_Yeast3
Technique;AUPR;AUROC;Mean
ARACNE;0.2463083332578577;0.5043449197860963;0.3753266265
BC3NET;0.2279730796636349;0.4846256684491977;0.356299374
C3NET;0.2538326716869171;0.5167112299465241;0.3852719508
CLR;0.2619258144361711;0.4893048128342246;0.3756153136
CMI2NI;0.2389925451038078;0.5160427807486632;0.3775176629
GENIE3_ET;0.2876928890318085;0.5768716577540107;0.4322822733
GENIE3_RF;0.3086150976514817;0.5795454545454546;0.444080276
GRNBOOST2;0.3181983768512413;0.606283422459893;0.4622408996
GRNVBEM;0.2169284989661176;0.4405080213903742;0.3287182601
INFERELATOR;0.3138656561089689;0.5220588235294118;0.4179622398
JUMP3;0.3116937681636054;0.5367647058823529;0.424229237
KBOOST;0.1786016743207153;0.3168449197860963;0.247723297
LEAP;0.2312274816536361;0.4832887700534758;0.3572581258
LOCPCACMI;0.2960681283513456;0.4986631016042779;0.3973656149
MEOMI;0.2692856860917893;0.5023395721925132;0.3858126291
MRNETB;0.2229927624569151;0.4485294117647059;0.3357610871
MRNET;0.2317972237077898;0.4401737967914437;0.3359855102
NARROMI;0.2314339686973335;0.4866310160427807;0.3590324923
NONLINEARODES;0.3890631963536469;0.5474598930481283;0.4682615447
PCACMI;0.2381656433926763;0.5267379679144385;0.3824518056
PCIT;0.3500924538835921;0.5675133689839573;0.4588029114
PIDC;0.2483997307234669;0.517379679144385;0.3828897049
PLSNET;0.2916881026894085;0.5467914438502673;0.4192397732
PUC;0.3184046146629734;0.5200534759358288;0.4192290452
RSNET;0.1796338077916882;0.3542780748663101;0.2669559413
TIGRESS;0.201273546322495;0.4304812834224599;0.3158774148
BEST_GENECI;0.3207323377223858;0.5628342245989305;0.4417832811606581
MEDIAN_GENECI;0.3161829765051316;0.5508021390374331;0.4334925577712823
MEAN;0.2968784841217583;0.5127005347593583;0.4047895094405583
MEDIAN;0.2385590384841288;0.48462566844919786;0.3615923534666633
