sim_BioGrid_Zea_mays_mixed_exp;sim_BioGrid_Zea_mays_mixed_exp;sim_BioGrid_Zea_mays_mixed_exp;sim_BioGrid_Zea_mays_mixed_exp;sim_BioGrid_Zea_mays_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.553437920775603;0.836322869955157;0.6948803953;0 days 00:00:00.264784606
BC3NET;0.683049782970725;0.865751121076233;0.7744004520;0 days 00:00:05.145535947
C3NET;0.54558849015378;0.801569506726457;0.6735789984;0 days 00:00:00.371867540
CLR;0.573090444211029;0.817825112107623;0.6954577781;0 days 00:00:00.262918761
CMI2NI;0.670082981785339;0.753923766816143;0.7120033743;0 days 00:00:05.897306426
GENIE3_ET;0.372687993459026;0.743834080717489;0.5582610370;0 days 00:00:12.689362277
GENIE3_RF;0.498683312567757;0.734865470852018;0.6167743917;0 days 00:00:15.433026593
GRNBOOST2;0.290346986836716;0.616031390134529;0.4531891884;0 days 00:00:03.906626169
GRNVBEM;0.0346677337230756;0.459080717488789;0.2468742256;0 days 00:00:08.452438308
INFERELATOR;0.589331465133938;0.835201793721973;0.7122666294;0 days 00:08:46.417093951
JUMP3;0.0387091007831596;0.489349775784753;0.2640294382;0 days 00:00:50.666023137
KBOOST;0.263190617960805;0.661434977578475;0.4623127977;0 days 00:00:00.374763539
LEAP;0.162098471731131;0.524663677130045;0.3433810744;0 days 00:00:00.331329024
LOCPCACMI;0.671933777708661;0.797645739910314;0.7347897588;0 days 00:00:07.369868349
MEOMI;0.451768774900499;0.709080717488789;0.5804247461;0 days 00:00:08.852796869
MRNETB;0.569664930367459;0.809977578475336;0.6898212544;0 days 00:00:00.286398405
MRNET;0.548582572126944;0.809417040358744;0.6789998062;0 days 00:00:00.556671191
NARROMI;0.543917619473175;0.75;0.6469588097;0 days 00:00:10.826946260
NONLINEARODES;0.0501915128274786;0.591367713004484;0.3207796129;0 days 00:00:01.710054927
PCACMI;0.670082981785339;0.753923766816143;0.7120033743;0 days 00:00:06.153596595
PCIT;0.0346320346320346;0.5;0.2673160173;0 days 00:00:13.888038416
PIDC;0.152789578825151;0.704596412556054;0.4286929956;0 days 00:00:09.459953214
PLSNET;0.545755229984845;0.723654708520179;0.6347049692;0 days 00:00:10.049758055
PUC;0.136423001470386;0.649103139013453;0.3927630702;0 days 00:00:09.635558036
RSNET;0.670082981785339;0.753923766816143;0.7120033743;0 days 00:00:12.644725457
TIGRESS;0.692665961099914;0.757286995515695;0.7249764783;0 days 00:00:16.873681611
