D4_100_4;D4_100_4;D4_100_4;D4_100_4
Technique;AUPR;AUROC;Mean
ARACNE;0.0418537951632998;0.5524878214851552;0.2971708083
BC3NET;0.0599919292638893;0.5536786476480143;0.3068352884
C3NET;0.0383246135861841;0.5399925845452334;0.289158599
CLR;0.0621021254260758;0.6653680653146996;0.3637350953
CMI2NI;0.058735181807607;0.653517767498101;0.3561264746
GENIE3_ET;0.0688109583129462;0.7096013019112406;0.3892061301
GENIE3_RF;0.068063827505222;0.7134508816613748;0.3907573545
GRNBOOST2;0.0667799728311552;0.7013993002275996;0.3840896365
GRNVBEM;0.1460385593037318;0.6924699383040032;0.4192542488
INFERELATOR;0.052197481330492;0.6147783752425553;0.3334879282
KBOOST;0.036662550709624;0.5247231555401419;0.2806928531
LEAP;0.0526623194622311;0.6385269071928443;0.3455946133
LOCPCACMI;0.0672738176573482;0.6496542470843225;0.3584640323
MEOMI;0.0251649498423086;0.507695490904573;0.2664302203
MRNETB;0.0604038720295516;0.666688515192144;0.3635461936
MRNET;0.0567821453675774;0.6622042683866348;0.3594932068
NARROMI;0.0484771331294262;0.5915512730271636;0.320014203
NONLINEARODES;0.0310296309399171;0.5724721296784989;0.3017508803
PCACMI;0.0247942800525949;0.4892759610620145;0.2570351205
PCIT;0.0772192746285665;0.5988344137755277;0.3380268442
PIDC;0.0554796916836557;0.6652259683747486;0.36035283
PLSNET;0.0356991509109454;0.615652968456436;0.3256760596
PUC;0.0558236206555517;0.6562491592801529;0.3560363899
RSNET;0.0566124642702221;0.6126730904592543;0.3346427773
TIGRESS;0.0419586938973707;0.6204554047952948;0.3312070493
BEST_GENECI;0.07129530641974;0.6925535822858677;0.3819244443528039
MEDIAN_GENECI;0.0645285845822572;0.6841246168151797;0.3743266006987185
MEAN;0.07528263671525529;0.7079450532411066;0.3916138449781809
MEDIAN;0.05538531636742908;0.6533446097812587;0.3543649630743439
