D4_100_2;D4_100_2;D4_100_2;D4_100_2
Technique;AUPR;AUROC;Mean
ARACNE;0.0452589624653725;0.5412109530235749;0.2932349577
BC3NET;0.0315458185825942;0.5312394537220477;0.2813926361
C3NET;0.037972034777281;0.5179690890803916;0.2779705619
CLR;0.0578372112326704;0.6290989260117874;0.3434680686
CMI2NI;0.0457081793961204;0.6118545261764082;0.3287813527
GENIE3_ET;0.0526955910733019;0.6729652003517125;0.3628303957
GENIE3_RF;0.0625037063528194;0.6924067631004798;0.3774552347
GRNBOOST2;0.0668271024830577;0.6990394486452701;0.3829332755
GRNVBEM;0.076997872493052;0.6234666153995321;0.3502322439
INFERELATOR;0.0452915503982196;0.548713556952918;0.2970025536
KBOOST;0.0430811201298925;0.5233571317702683;0.2832191259
LEAP;0.0353455141471272;0.5440248196183346;0.2896851668
LOCPCACMI;0.0475713560658524;0.5998005075945684;0.3236859318
MEOMI;0.0255218172203363;0.4987653442492382;0.2621435807
MRNETB;0.0638810073228745;0.6333900517623285;0.3486355295
MRNET;0.0582593016788369;0.6322490251129894;0.3452541633
NARROMI;0.0348838867104148;0.5462226067257321;0.2905532467
NONLINEARODES;0.0289722033738741;0.5407251220195255;0.2848486626
PCACMI;0.0251841284414954;0.4719391502389207;0.2485616393
PCIT;0.0486215561877347;0.5648681140477356;0.3067448351
PIDC;0.0532299506392916;0.6434495624191928;0.3483397565
PLSNET;0.0326984984894813;0.5327837097015145;0.282741104
PUC;0.0566607284842419;0.6495200572261068;0.3530903928
RSNET;0.0452773026611521;0.5866940979127369;0.3159857002
TIGRESS;0.0587197949764863;0.5687834750045668;0.3137516349
BEST_GENECI;0.084556637288601;0.6677669126407194;0.3761617749646602
MEDIAN_GENECI;0.075821167361422;0.6576649567912101;0.3667430620763161
MEAN;0.06178816817626752;0.6586965414242193;0.3602423548002434
MEDIAN;0.05590159225753814;0.6298708459368509;0.3428862190971945
