D4_100_2;D4_100_2;D4_100_2;D4_100_2;D4_100_2
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0452589624653725;0.5412109530235749;0.2932349577;0 days 00:00:00.294193867
BC3NET;0.03154581858259429;0.5312394537220477;0.2813926361;0 days 00:00:07.641456723
C3NET;0.037972034777281;0.5179690890803916;0.2779705619;0 days 00:00:00.624493924
CLR;0.05783721123267044;0.6290989260117874;0.3434680686;0 days 00:00:00.310532776
CMI2NI;0.045708179396120416;0.6118545261764082;0.3287813527;0 days 00:00:22.170789245
GENIE3_ET;0.05269559107330191;0.6729652003517125;0.3628303957;0 days 00:01:04.630235877
GENIE3_RF;0.06250370635281943;0.6924067631004798;0.3774552347;0 days 00:01:38.775963509
GRNBOOST2;0.06682710248305777;0.6990394486452701;0.3829332755;0 days 00:00:16.938305496
GRNVBEM;0.07699787249305207;0.6234666153995321;0.3502322439;0 days 00:02:57.122404990
INFERELATOR;0.045291550398219645;0.548713556952918;0.2970025536;0 days 00:11:03.863498746
KBOOST;0.04308112012989253;0.5233571317702683;0.2832191259;0 days 00:00:01.065272064
LEAP;0.03534551414712725;0.5440248196183346;0.2896851668;0 days 00:00:00.998349093
LOCPCACMI;0.04757135606585243;0.5998005075945684;0.3236859318;0 days 00:00:18.985320224
MEOMI;0.02552181722033632;0.49876534424923824;0.2621435807;0 days 00:03:00.892245947
MRNETB;0.06388100732287459;0.6333900517623285;0.3486355295;0 days 00:00:00.616614374
MRNET;0.05825930167883695;0.6322490251129894;0.3452541633;0 days 00:00:00.309066888
NARROMI;0.03488388671041481;0.5462226067257321;0.2905532467;0 days 00:00:12.515476290
NONLINEARODES;0.028972203373874166;0.5407251220195255;0.2848486626;0 days 00:00:31.119005342
PCACMI;0.025184128441495462;0.47193915023892075;0.2485616393;0 days 00:00:08.444901740
PCIT;0.0486215561877347;0.5648681140477356;0.3067448351;0 days 00:00:12.518813894
PIDC;0.05322995063929164;0.6434495624191928;0.3483397565;0 days 00:00:11.078700293
PLSNET;0.03269849848948134;0.5327837097015145;0.2827411040;0 days 00:01:14.099957937
PUC;0.05666072848424195;0.6495200572261068;0.3530903928;0 days 00:00:14.134850594
RSNET;0.045277302661152104;0.5866940979127369;0.3159857002;0 days 00:00:10.776092211
TIGRESS;0.05871979497648635;0.5687834750045668;0.3137516349;0 days 00:01:53.776214586
