sim_scale-free_size-50_knockout_exp;sim_scale-free_size-50_knockout_exp;sim_scale-free_size-50_knockout_exp;sim_scale-free_size-50_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.181688064136705;0.541516419315835;0.3616022417
BC3NET;0.183013639689884;0.560939790491884;0.371976715
C3NET;0.182220679885331;0.536302791658196;0.3592617357
CLR;0.237905127106425;0.606808478765635;0.4223568029
CMI2NI;0.156258062312777;0.591087344982184;0.3736727036
GENIE3_ET;0.194238963849408;0.644606610526766;0.4194227871
GENIE3_RF;0.232104960814148;0.624431556758723;0.4282682587
GRNBOOST2;0.201212246289253;0.598820848090566;0.4000165471
GRNVBEM;0.125845511012732;0.490500979059889;0.308173245
INFERELATOR;0.18009813917847;0.560640187465893;0.3703691633
KBOOST;0.146013655018561;0.531019613298094;0.3385166341
LEAP;0.181658282964015;0.609333704270413;0.3954959936
LOCPCACMI;0.163491565568437;0.585726590838567;0.3746090782
MEOMI;0.13045155143821;0.499374043677841;0.3149127975
MRNETB;0.217807798277819;0.60489315942091;0.4113504788
MRNET;0.216014727004058;0.595198861508501;0.4056067942
NARROMI;0.168504781821358;0.518586087719486;0.3435454347
NONLINEARODES;0.142491914298488;0.546120140813422;0.3443060275
PCACMI;0.164949529188;0.599556480520453;0.3822530048
PCIT;0.132549019607843;0.5;0.3162745098
PIDC;0.185138931525967;0.60969750794483;0.3974182197
PLSNET;0.185678259074673;0.59398707426945;0.3898326666
PUC;0.182238001720084;0.585649015055052;0.3839435083
RSNET;0.173459351168935;0.571524872401211;0.3724921117
TIGRESS;0.231493476738573;0.608582021678419;0.4200377492
BEST_GENECI;0.184406508193932;0.635040713911211;0.4097236110525715
MEDIAN_GENECI;0.171013741621096;0.620114063152038;0.395563902386567
MEAN;0.210774543618242;0.634067004076741;0.4224207738474915
MEDIAN;0.207241570058703;0.625704869619183;0.41647321983894303
