gnw2000_exp;gnw2000_exp;gnw2000_exp;gnw2000_exp;gnw2000_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.383541662516096;0.698985655990178;0.5412636592;0 days 00:00:33.318187346
BC3NET;0.209029869847871;0.634243907912411;0.4216368888;0 days 01:31:12.096715086
C3NET;0.318312903117521;0.662001125474409;0.4901570142;0 days 00:01:02.769209806
CLR;0.178186960338801;0.815006809661959;0.4965968850;0 days 00:00:19.747315973
KBOOST;0.395908577247842;0.799709314776736;0.5978089460;0 days 00:25:27.939635547
LEAP;0.0504944329557668;0.705183872126308;0.3778391525;0 days 00:04:01.997891178
MRNETB;0.0732858161336646;0.820509645653054;0.4468977308;0 days 00:01:31.158676987
MRNET;0.271465969230271;0.827044475626261;0.5492552224;0 days 00:00:35.539052932
NARROMI;0.0196217421448585;0.549027657610347;0.2843246998;0 days 01:13:58.769279517
PCIT;0.00259670164917541;0.5;0.2512983508;0 days 00:10:28.231815679
RSNET;0.056390457407635;0.803059424282229;0.4297249408;0 days 00:36:56.827288737
