sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_knockout_exp;sim_scale-free_size-200_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0564269067256753;0.55908695189282;0.3077569293
BC3NET;0.0653933160304185;0.579045051972333;0.322219184
C3NET;0.0507768326937485;0.547260396144012;0.2990186144
CLR;0.089737417991651;0.683911888890394;0.3868246534
GENIE3_ET;0.0737851131186672;0.684497193991518;0.3791411535
GENIE3_RF;0.092305474432226;0.670266690753192;0.3812860825
GRNBOOST2;0.0852430571002589;0.705573367965942;0.3954082125
INFERELATOR;0.0715046480810919;0.624577130198515;0.3480408891
KBOOST;0.0470555819760221;0.625608550834701;0.3363320664
LEAP;0.0401972632083537;0.646083089144999;0.3431401761
MEOMI;0.0358166622326247;0.542824116418432;0.2893203893
MRNETB;0.0614435102160721;0.677529487110185;0.3694864986
MRNET;0.0850223302638223;0.684503903447635;0.3847631168
NARROMI;0.0482331465722161;0.555523914210615;0.3018785303
PCACMI;0.0416887327449739;0.685367207900347;0.3635279703
PCIT;0.0199502487562189;0.5;0.2599751243
PIDC;0.0588549948929298;0.712523731536178;0.3856893632
PLSNET;0.0370676936119481;0.558009261328125;0.2975384774
PUC;0.0536546814641395;0.730812569571047;0.3922336255
RSNET;0.0614385315510345;0.640596906130531;0.3510177188
BEST_GENECI;0.0955220135125248;0.73915160066735;0.4173368070899373
MEDIAN_GENECI;0.0584569967342112;0.726467500470611;0.3924622486024111
MEAN;0.0851526989192838;0.740583563174403;0.4128681310468434
MEDIAN;0.0921255809899567;0.706576748139297;0.3993511645646269
