sim_scale-free_size-50_overexpression_exp;sim_scale-free_size-50_overexpression_exp;sim_scale-free_size-50_overexpression_exp;sim_scale-free_size-50_overexpression_exp;sim_scale-free_size-50_overexpression_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.170468478883932;0.527459152337439;0.3489638156;0 days 00:00:00.273660584
BC3NET;0.210442902265969;0.561993751136887;0.3862183267;0 days 00:00:04.508796485
C3NET;0.172911956441992;0.529310271033737;0.3511111137;0 days 00:00:00.388337338
CLR;0.234630446078443;0.589597354933285;0.4121139005;0 days 00:00:00.265616654
CMI2NI;0.183141748874496;0.590105610066662;0.3866236794;0 days 00:00:09.846753298
GENIE3_ET;0.221274626399341;0.615411365654793;0.4183429960;0 days 00:00:25.112786762
GENIE3_RF;0.228665955527437;0.607113431845662;0.4178896936;0 days 00:00:32.562340767
GRNBOOST2;0.177794331172107;0.58602351883754;0.3819089250;0 days 00:00:05.651164143
GRNVBEM;0.181157062811248;0.53691002279123;0.3590335428;0 days 00:00:11.220757168
INFERELATOR;0.212203069421518;0.581564248798913;0.3968836591;0 days 00:07:55.067965717
KBOOST;0.195615646717908;0.561900125191264;0.3787578859;0 days 00:00:00.366631542
LEAP;0.184045135929642;0.581615074312251;0.3828301051;0 days 00:00:00.337515098
LOCPCACMI;0.207123698765758;0.594899258482511;0.4010114786;0 days 00:00:09.109102346
MEOMI;0.149175588660052;0.522710979380892;0.3359432840;0 days 00:00:24.421714295
MRNETB;0.215254325116882;0.579961907615267;0.3976081163;0 days 00:00:00.555318667
MRNET;0.202095711681158;0.580978417882021;0.3915370647;0 days 00:00:00.281927044
NARROMI;0.164407600235877;0.519404645986924;0.3419061231;0 days 00:00:08.314812236
NONLINEARODES;0.144709737327572;0.556036465968306;0.3503731016;0 days 00:00:03.713991950
PCACMI;0.190143634894419;0.589046299367624;0.3895949671;0 days 00:00:07.176127524
PCIT;0.132549019607843;0.5;0.3162745098;0 days 00:00:12.326387767
PIDC;0.186682407623643;0.560562611682378;0.3736225096;0 days 00:00:10.378258171
PLSNET;0.190719908164319;0.569729929272286;0.3802249187;0 days 00:00:12.996214043
PUC;0.190032397543102;0.585162160137817;0.3875972788;0 days 00:00:13.213425255
RSNET;0.200159637397214;0.583995848358068;0.3920777428;0 days 00:00:08.342871919
TIGRESS;0.24582265851772;0.618720374075778;0.4322715162;0 days 00:00:41.013307287
