D3_10_Ecoli1;D3_10_Ecoli1;D3_10_Ecoli1;D3_10_Ecoli1;D3_10_Ecoli1
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.15293228968010533;0.5609896432681244;0.3569609664;0 days 00:00:00.269658224
BC3NET;0.2146088522419294;0.6116225546605294;0.4131157034;0 days 00:00:21.052651975
C3NET;0.15994729425149543;0.5753739930955122;0.3676606436;0 days 00:00:00.360090818
CLR;0.14771503338316422;0.571921749136939;0.3598183912;0 days 00:00:00.264132720
CMI2NI;0.23212877226405104;0.57307249712313;0.4026006346;0 days 00:00:06.027418490
GENIE3_ET;0.17337727192159744;0.6087456846950519;0.3910614783;0 days 00:00:07.970857344
GENIE3_RF;0.16360519127149878;0.5972382048331416;0.3804216980;0 days 00:00:09.005628358
GRNBOOST2;0.1389298575973221;0.5477560414269276;0.3433429495;0 days 00:00:03.931624068
GRNVBEM;0.091994717230101;0.384349827387802;0.2381722723;0 days 00:00:06.410147325
INFERELATOR;0.18686580536640718;0.39528193325661687;0.2910738693;0 days 00:06:59.722012742
JUMP3;0.1658224419354222;0.566168009205984;0.3659952255;0 days 00:00:56.655124234
KBOOST;0.17393771343173223;0.5949367088607596;0.3844372111;0 days 00:00:00.331444610
LEAP;0.15146655109161639;0.5776754890678941;0.3645710200;0 days 00:00:00.378179431
LOCPCACMI;0.16981569921610182;0.5926352128883774;0.3812254560;0 days 00:00:07.359271999
MEOMI;0.1293923825260946;0.5356731875719218;0.3325327850;0 days 00:00:14.803915057
MRNETB;0.1409521667235642;0.547180667433832;0.3440664170;0 days 00:00:00.274732106
MRNET;0.14692627133202918;0.5155350978135789;0.3312306845;0 days 00:00:00.549235428
NARROMI;0.1420072933733159;0.5431530494821634;0.3425801714;0 days 00:00:10.536537403
NONLINEARODES;0.1100773865084166;0.45684695051783664;0.2834621685;0 days 00:00:01.330636333
PCACMI;0.14254099740847587;0.5489067894131185;0.3457238934;0 days 00:00:06.337221731
PCIT;0.29867101470747087;0.5454545454545455;0.4220627800;0 days 00:00:14.516354834
PIDC;0.17479334963006427;0.6352128883774453;0.4050031190;0 days 00:00:14.179576644
PLSNET;0.14190615844297716;0.5466052934407365;0.3442557259;0 days 00:00:08.657243321
PUC;0.1951336821499599;0.6628308400460299;0.4289822610;0 days 00:00:09.385810246
RSNET;0.1627239335596123;0.5719217491369389;0.3673228413;0 days 00:00:13.139762247
TIGRESS;0.1173907460771705;0.4810126582278481;0.2992017021;0 days 00:00:08.216796153
