sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.162274739265673;0.574962806947161;0.3686187731
BC3NET;0.207866398914521;0.625913110342176;0.4168897546
C3NET;0.170235189672746;0.572881667586046;0.3715584286
CLR;0.229473861918832;0.681159420289855;0.4553166411
CMI2NI;0.195754691845135;0.663026762282065;0.429390727
GENIE3_ET;0.241348743358293;0.734366380823429;0.487857562
GENIE3_RF;0.228098574173029;0.72750447152433;0.4778015228
GRNBOOST2;0.18840447209645;0.695877839626899;0.4421411558
GRNVBEM;0.0982608813320558;0.517234174147067;0.3077475277
INFERELATOR;0.215491408995783;0.678401283787172;0.4469463463
KBOOST;0.158385896485146;0.609991140531234;0.3841885185
LEAP;0.186188319345373;0.653135081824716;0.4196617005
LOCPCACMI;0.229793223824483;0.692492853919061;0.4611430388
MEOMI;0.103754367918177;0.529921602059409;0.3168379849
MRNETB;0.212391761377729;0.664468515453922;0.4384301384
MRNET;0.215195054850969;0.664631496247263;0.4399132755
NARROMI;0.10716846238153;0.550741353659963;0.328954908
NONLINEARODES;0.118409342768461;0.598682780870234;0.3585460618
PCACMI;0.206619054680763;0.657773765942865;0.4321964103
PCIT;0.08;0.5;0.29
PIDC;0.160536427237182;0.641918660047139;0.4012275436
PLSNET;0.144588403324469;0.607801347307892;0.3761948753
PUC;0.185945694006342;0.651918994366715;0.4189323441
RSNET;0.140514582875683;0.549587951122478;0.3450512669
TIGRESS;0.249717078557857;0.708059609180416;0.4788883438
BEST_GENECI;0.230801319461961;0.709718670076726;0.4702599947693435
MEDIAN_GENECI;0.221668550013419;0.696019925446735;0.458844237730077
MEAN;0.248131325286491;0.744095080487438;0.4961132028869645
MEDIAN;0.222311859607898;0.704110459187938;0.463211159397918
