D3_50_Ecoli1;D3_50_Ecoli1;D3_50_Ecoli1;D3_50_Ecoli1;D3_50_Ecoli1
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.024076747275383906;0.4892574431296266;0.2566670952;0 days 00:00:00.312930364
BC3NET;0.02794304345997317;0.5107189171664777;0.2693309803;0 days 00:00:09.427994837
C3NET;0.0264576130223971;0.5082570108607554;0.2673573119;0 days 00:00:00.688090847
CLR;0.033386298978162345;0.5831475928027232;0.3082669458;0 days 00:00:00.309365306
CMI2NI;0.035299076840727535;0.5690144269735776;0.3021567519;0 days 00:00:26.294114466
GENIE3_ET;0.027770182071578043;0.5198911222780569;0.2738306521;0 days 00:00:47.047696721
GENIE3_RF;0.034074892568046855;0.5566542389366185;0.2953645657;0 days 00:01:25.322912243
GRNBOOST2;0.026655572565034893;0.5031339493164748;0.2648947609;0 days 00:00:13.541468908
GRNVBEM;0.04650552988203218;0.5587784351866862;0.3026419825;0 days 00:01:21.708047125
INFERELATOR;0.028004591712739856;0.5055451991138488;0.2667748954;0 days 00:08:29.513251061
KBOOST;0.027715545502486786;0.5459015507645755;0.2868085481;0 days 00:00:02.186172363
LEAP;0.04128622296535958;0.5648639703895825;0.3030750966;0 days 00:00:03.472496687
LOCPCACMI;0.033940654374271344;0.5804087642513643;0.3071747093;0 days 00:00:24.627877714
MEOMI;0.02228457817196128;0.4719059004700925;0.2470952393;0 days 00:01:41.355738604
MRNETB;0.036326589889618524;0.6046124439401308;0.3204695169;0 days 00:00:00.633109633
MRNET;0.03292341149744112;0.5803243367374507;0.3066238741;0 days 00:00:00.303222422
NARROMI;0.026210701863160754;0.4950896957907819;0.2606501988;0 days 00:00:12.649966800
NONLINEARODES;0.023793128914281904;0.48249986491597796;0.2531464969;0 days 00:00:20.152836659
PCACMI;0.022131065627407895;0.4200910466310044;0.2211110561;0 days 00:00:08.358084554
PCIT;0.040283744613353746;0.5764744421029881;0.3083790933;0 days 00:00:12.970583592
PIDC;0.024093652038553487;0.47043010752688175;0.2472618797;0 days 00:00:11.114177386
PLSNET;0.021305485874370502;0.45771194683092886;0.2395087163;0 days 00:00:31.977933396
PUC;0.023146666115668988;0.46274382666018266;0.2429452463;0 days 00:00:13.971878970
RSNET;0.03197194474577214;0.5212926190090236;0.2766322818;0 days 00:00:11.511887426
TIGRESS;0.02894538678837164;0.580017020586805;0.3044812036;0 days 00:00:57.242597526
