sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.20862455723005;0.58566103338181;0.3971427953
BC3NET;0.214468352246981;0.623330491616937;0.4188994219
C3NET;0.206662839867663;0.575142503719305;0.3909026717
CLR;0.215048372424617;0.718097554452301;0.4665729634
CMI2NI;0.257510803973908;0.722381024020862;0.4899459139
GENIE3_ET;0.2586219347895;0.771977333132742;0.5152996339
GENIE3_RF;0.290642039888161;0.77710078063621;0.5338714102
GRNBOOST2;0.216848361694574;0.73186734199221;0.4743578518
GRNVBEM;0.0831841545310198;0.478331912475135;0.2807580335
INFERELATOR;0.243042301935068;0.714913160490113;0.4789777312
KBOOST;0.234477244445383;0.704553432626247;0.4695153385
LEAP;0.160649983737309;0.636903866405897;0.398776925
LOCPCACMI;0.282564101607588;0.74002473964863;0.5112944206
MEOMI;0.100947512475673;0.528784915500727;0.3148662139
MRNETB;0.242734626916929;0.701506945489193;0.4721207862
MRNET;0.260466859456516;0.698610902161376;0.4795388808
NARROMI;0.151200479394914;0.568702672885011;0.3599515761
NONLINEARODES;0.116068133325461;0.635524798154556;0.3757964657
PCACMI;0.265401092218371;0.737241529177741;0.5013213106
PCIT;0.08;0.5;0.29
PIDC;0.132778701152184;0.625361483041639;0.379070092
PLSNET;0.154394634470027;0.693746552329372;0.4240705933
PUC;0.157557559180855;0.625984153252094;0.3917708562
RSNET;0.179190855169054;0.652144660080571;0.4156677576
TIGRESS;0.272777507286139;0.769131437741337;0.5209544725
BEST_GENECI;0.288735984945794;0.776791535028334;0.532763759987064
MEDIAN_GENECI;0.273863655608933;0.766110024572489;0.519986840090711
MEAN;0.270961471549331;0.761454624475536;0.5162080480124335
MEDIAN;0.279573083674465;0.757175333901677;0.518374208788071
