D4_100_5;D4_100_5;D4_100_5;D4_100_5
Technique;AUPR;AUROC;Mean
ARACNE;0.059419776456097;0.5825818235972011;0.3210008
BC3NET;0.0565557133466516;0.5919308804980755;0.3242432969
C3NET;0.0574774833801403;0.5621662909785203;0.3098218871
CLR;0.076374737337253;0.6768316865506491;0.3766032119
CMI2NI;0.0661170851027538;0.6869744658387116;0.3765457754
GENIE3_ET;0.0843005501538643;0.7568209683626632;0.4205607592
GENIE3_RF;0.0839416891682859;0.773696776697122;0.4288192329
GRNBOOST2;0.0745919252990836;0.7671641799011557;0.4208780526
GRNVBEM;0.1111597060648326;0.6933306502278416;0.4022451781
INFERELATOR;0.05382723721711;0.6280564583754795;0.3409418477
KBOOST;0.0413597633285719;0.5170554233871074;0.2792075933
LEAP;0.0422547646311361;0.6133824690370872;0.3278186168
LOCPCACMI;0.0705605932325894;0.6884722365303388;0.3795164148
MEOMI;0.0287816394628885;0.5039437914308941;0.2663627154
MRNETB;0.0738698208894925;0.6798024074288571;0.3768361141
MRNET;0.0809725927651757;0.6786315734972519;0.3798020831
NARROMI;0.0705715905402223;0.6040531617853897;0.3373123761
NONLINEARODES;0.0274923829521357;0.6095803946833944;0.3185363888
PCACMI;0.0264098324419758;0.4894627615027026;0.2579362969
PCIT;0.0894105397081866;0.633895949240199;0.3616532444
PIDC;0.0645524013606376;0.7133503892015324;0.3889513952
PLSNET;0.0331544106662897;0.6021299729750069;0.3176421918
PUC;0.0676606622278047;0.6989918604756677;0.3833262613
RSNET;0.0725788391611109;0.6204533772166979;0.3465161081
TIGRESS;0.0301288743979594;0.6461679542192456;0.3381484143
BEST_GENECI;0.1161588832363536;0.7352991885029285;0.425729035869641
MEDIAN_GENECI;0.0852129208532545;0.7242415200611063;0.4047272204571804
MEAN;0.10934665265345946;0.7412438329051574;0.4252952427793084
MEDIAN;0.07642919265370611;0.690683129689541;0.38355616117162356
