sim_scale-free_size-20_knockout_exp;sim_scale-free_size-20_knockout_exp;sim_scale-free_size-20_knockout_exp;sim_scale-free_size-20_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.267590733734128;0.486944444444445;0.377267589
BC3NET;0.318896382710965;0.5355;0.4271981913
C3NET;0.268624809568714;0.487055555555556;0.3778401825
CLR;0.310899023437732;0.543666666666667;0.427282845
CMI2NI;0.371321570648533;0.639444444444444;0.5053830075
GENIE3_ET;0.393874493309687;0.622888888888889;0.508381691
GENIE3_RF;0.309494137668787;0.576666666666667;0.4430804021
GRNBOOST2;0.349694706065991;0.563444444444444;0.4565695752
GRNVBEM;0.338542790871852;0.483777777777778;0.4111602843
INFERELATOR;0.336178706559511;0.531888888888889;0.4340337977
JUMP3;0.405443316736777;0.610055555555556;0.5077494361
KBOOST;0.365771367911974;0.642111111111111;0.5039412395
LEAP;0.400728414421042;0.649222222222222;0.5249753183
LOCPCACMI;0.378717867333964;0.596666666666667;0.487692267
MEOMI;0.307233595023292;0.509111111111111;0.408172353
MRNETB;0.298918071581134;0.543611111111111;0.4212645913
MRNET;0.300533946490741;0.550777777777778;0.4256558621
NARROMI;0.327585038973176;0.520111111111111;0.423848075
NONLINEARODES;0.376022132303165;0.616277777777778;0.496149955
PCACMI;0.374135387187684;0.637444444444444;0.5057899158
PCIT;0.285714285714286;0.5;0.3928571428
PIDC;0.329456421411048;0.583055555555556;0.4562559884
PLSNET;0.260319070339369;0.482111111111111;0.3712150907
PUC;0.372569846642823;0.656333333333333;0.5144515899
RSNET;0.452365896088325;0.587833333333333;0.5200996147
TIGRESS;0.274480305464592;0.507555555555556;0.3910179305
BEST_GENECI;0.403966436557823;0.683;0.5434832182789116
MEDIAN_GENECI;0.383573640354274;0.657111111111111;0.5203423757326925
MEAN;0.357719584908179;0.625;0.4913597924540895
MEDIAN;0.364484714610426;0.625111111111111;0.49479791286076846
