sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_knockout_exp;sim_eipo-modular_size-200_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.102975539004461;0.615991453614805;0.3594834963
BC3NET;0.107660049825128;0.617477978540365;0.3625690141
C3NET;0.0760028372211527;0.578491482801402;0.32724716
CLR;0.216616872132356;0.834895125343732;0.5257559987
GENIE3_ET;0.181866335237779;0.86717515900515;0.5245207471
GENIE3_RF;0.192393314066545;0.872147319111425;0.5322703165
GRNBOOST2;0.192226745866917;0.864800125371889;0.5285134356
INFERELATOR;0.149423545032666;0.727846788629561;0.4386351668
KBOOST;0.0970007816113466;0.648334599001557;0.3726676903
LEAP;0.109123270232763;0.756698598864758;0.4329109345
MEOMI;0.074227822901027;0.572662198164225;0.3234450105
MRNETB;0.143178751410752;0.80514999919651;0.4741643753
MRNET;0.16428749595972;0.802171455397591;0.4832294756
NARROMI;0.0758504013255256;0.614508499755313;0.3451794505
PCACMI;0.149412493735921;0.836027084613251;0.4927197891
PCIT;0.0183582089552239;0.5;0.2591791044
PIDC;0.138842370776792;0.828007569011882;0.4834249698
PLSNET;0.176689474722775;0.84430282420507;0.5104961494
PUC;0.112690518612614;0.811729963125996;0.4622102408
RSNET;0.12545023014686;0.812748747070867;0.4690994886
BEST_GENECI;0.198663415298228;0.886948495200831;0.5428059552495295
MEDIAN_GENECI;0.1909794245403;0.870783446570465;0.5308814355553825
MEAN;0.17933977269926;0.856400291234173;0.5178700319667165
MEDIAN;0.181290335484608;0.837734740937699;0.5095125382111535
