D4_100_3;D4_100_3;D4_100_3;D4_100_3
Technique;AUPR;AUROC;Mean
ARACNE;0.0672984422558656;0.5589516374060424;0.3131250398
BC3NET;0.0614476334273978;0.590419160094585;0.3259333967
C3NET;0.0664215638485695;0.5521927634446955;0.3093071636
CLR;0.1036195645443683;0.7078571711647446;0.4057383678
CMI2NI;0.0967241186620852;0.6858854146025706;0.3913047666
GENIE3_ET;0.1135592451166832;0.7276883446280664;0.4206237948
GENIE3_RF;0.1162653787304644;0.7438322831213093;0.4300488309
GRNBOOST2;0.0937707077404304;0.7095005218034582;0.4016356147
GRNVBEM;0.1569746660854388;0.6685676164810631;0.4127711412
INFERELATOR;0.0746629022661732;0.6173312725399279;0.3459970874
KBOOST;0.0539571421153534;0.5764144836787806;0.3151858128
LEAP;0.0806576668867054;0.6350567378697209;0.3578572023
LOCPCACMI;0.1007909082664669;0.6805054227929036;0.3906481655
MEOMI;0.0312154115980525;0.5091081784435725;0.270161795
MRNETB;0.1076376717780201;0.7168987701290638;0.4122682209
MRNET;0.1021512368130427;0.7123687234970077;0.4072599801
NARROMI;0.0718260854325517;0.6023001624856339;0.3370631239
NONLINEARODES;0.0293847434728334;0.6028787698648597;0.3161317566
PCACMI;0.0393407373570889;0.4699095100331573;0.2546251236
PCIT;0.1017082441656589;0.6148881755373254;0.3582982098
PIDC;0.0947764506433506;0.6865596639321525;0.3906680572
PLSNET;0.0331148951824462;0.5863543772044546;0.3097346361
PUC;0.1011031145048085;0.682031202525793;0.3915671585
RSNET;0.0856983257847865;0.6493174282355116;0.367507877
TIGRESS;0.0335165213106682;0.6559045694130703;0.3447105453
BEST_GENECI;0.1158177089683784;0.7254753695557404;0.4206465392620594
MEDIAN_GENECI;0.1141296071583402;0.7183281152987488;0.4162288612285445
MEAN;0.1259396825093473;0.7139956934701912;0.41996768798976924
MEDIAN;0.08935949148409546;0.7010628938295089;0.3952111926568022
