D4_100_3;D4_100_3;D4_100_3;D4_100_3;D4_100_3
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.06729844225586566;0.5589516374060424;0.3131250398;0 days 00:00:00.302352023
BC3NET;0.06144763342739785;0.590419160094585;0.3259333967;0 days 00:00:08.288049087
C3NET;0.06642156384856952;0.5521927634446955;0.3093071636;0 days 00:00:00.617021980
CLR;0.10361956454436837;0.7078571711647446;0.4057383678;0 days 00:00:00.296715864
CMI2NI;0.09672411866208525;0.6858854146025706;0.3913047666;0 days 00:00:24.558215502
GENIE3_ET;0.1135592451166832;0.7276883446280664;0.4206237948;0 days 00:01:05.466613657
GENIE3_RF;0.11626537873046443;0.7438322831213093;0.4300488309;0 days 00:01:38.131917709
GRNBOOST2;0.09377070774043046;0.7095005218034582;0.4016356147;0 days 00:00:17.733798526
GRNVBEM;0.15697466608543884;0.6685676164810631;0.4127711412;0 days 00:02:38.922481786
INFERELATOR;0.07466290226617323;0.6173312725399279;0.3459970874;0 days 00:10:55.521824778
KBOOST;0.05395714211535347;0.5764144836787806;0.3151858128;0 days 00:00:01.103321563
LEAP;0.08065766688670543;0.6350567378697209;0.3578572023;0 days 00:00:01.014167489
LOCPCACMI;0.1007909082664669;0.6805054227929036;0.3906481655;0 days 00:00:32.602112271
MEOMI;0.031215411598052585;0.5091081784435725;0.2701617950;0 days 00:02:11.694221365
MRNETB;0.10763767177802014;0.7168987701290638;0.4122682209;0 days 00:00:00.630911923
MRNET;0.10215123681304276;0.7123687234970077;0.4072599801;0 days 00:00:00.304562733
NARROMI;0.0718260854325517;0.6023001624856339;0.3370631239;0 days 00:00:12.065865870
NONLINEARODES;0.029384743472833454;0.6028787698648597;0.3161317566;0 days 00:00:31.538565564
PCACMI;0.039340737357088956;0.4699095100331573;0.2546251236;0 days 00:00:10.020105873
PCIT;0.10170824416565893;0.6148881755373254;0.3582982098;0 days 00:00:12.213694389
PIDC;0.09477645064335063;0.6865596639321525;0.3906680572;0 days 00:00:10.638112516
PLSNET;0.03311489518244623;0.5863543772044546;0.3097346361;0 days 00:01:08.813373441
PUC;0.10110311450480854;0.682031202525793;0.3915671585;0 days 00:00:14.259674329
RSNET;0.0856983257847865;0.6493174282355116;0.3675078770;0 days 00:00:10.754903291
TIGRESS;0.03351652131066826;0.6559045694130703;0.3447105453;0 days 00:01:56.245772448
