D4_10_1;D4_10_1;D4_10_1;D4_10_1
Technique;AUPR;AUROC;Mean
ARACNE;0.3309916720355206;0.6235555555555556;0.4772736137
BC3NET;0.46770186034075;0.7413333333333333;0.6045175968
C3NET;0.3539580070354745;0.6635555555555556;0.5087567812
CLR;0.3483475505954555;0.6506666666666667;0.4995071086
CMI2NI;0.3441968089156008;0.6417777777777778;0.4929872933
GENIE3_ET;0.4529824293915481;0.8613333333333333;0.6571578813
GENIE3_RF;0.4500399616493681;0.8320000000000001;0.6410199808
GRNBOOST2;0.3122372812063031;0.6693333333333333;0.4907853072
GRNVBEM;0.61369189876427;0.7564444444444445;0.6850681716
INFERELATOR;0.3704588929574449;0.6631111111111111;0.516785002
JUMP3;0.2614071390096456;0.5582222222222223;0.4098146806
KBOOST;0.2324318011441773;0.5857777777777778;0.4091047894
LEAP;0.3360278360278144;0.6675555555555556;0.5017916957
LOCPCACMI;0.3308504056883586;0.6444444444444444;0.487647425
MEOMI;0.2318918179168696;0.5831111111111111;0.4075014645
MRNETB;0.3614031310512349;0.6866666666666666;0.5240348988
MRNET;0.343939536936747;0.6493333333333333;0.4966364351
NARROMI;0.2679713822957601;0.5902222222222222;0.4290968022
NONLINEARODES;0.2187408173773108;0.6444444444444445;0.4315926309
PCACMI;0.2097293120729723;0.5244444444444445;0.3670868782
PCIT;0.3262419523120088;0.5884444444444444;0.4573431983
PIDC;0.2709082215904694;0.5422222222222222;0.4065652219
PLSNET;0.1454481217982196;0.3466666666666667;0.2460573942
PUC;0.2941025048551136;0.5422222222222222;0.4181623635
RSNET;0.3513966979045588;0.7004444444444444;0.5259205711
TIGRESS;0.3256690763592111;0.5973333333333333;0.4615012048
BEST_GENECI;0.4405836849845739;0.8302222222222222;0.635402953603398
MEDIAN_GENECI;0.4319487138417832;0.7653333333333334;0.5986410235875583
MEAN;0.43320498998462353;0.7644444444444445;0.598824717214534
MEDIAN;0.3390077539217064;0.6293333333333333;0.4841705436275199
