D4_10_1;D4_10_1;D4_10_1;D4_10_1;D4_10_1
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.33099167203552066;0.6235555555555556;0.4772736137;0 days 00:00:00.268333330
BC3NET;0.46770186034075;0.7413333333333333;0.6045175968;0 days 00:00:21.837050005
C3NET;0.35395800703547453;0.6635555555555556;0.5087567812;0 days 00:00:00.374396579
CLR;0.3483475505954555;0.6506666666666667;0.4995071086;0 days 00:00:00.269184166
CMI2NI;0.34419680891560084;0.6417777777777778;0.4929872933;0 days 00:00:05.995466359
GENIE3_ET;0.45298242939154815;0.8613333333333333;0.6571578813;0 days 00:00:07.927165762
GENIE3_RF;0.45003996164936816;0.8320000000000001;0.6410199808;0 days 00:00:09.369678026
GRNBOOST2;0.3122372812063031;0.6693333333333333;0.4907853072;0 days 00:00:04.002673121
GRNVBEM;0.61369189876427;0.7564444444444445;0.6850681716;0 days 00:00:06.661908187
INFERELATOR;0.37045889295744494;0.6631111111111111;0.5167850020;0 days 00:06:58.694858266
JUMP3;0.26140713900964563;0.5582222222222223;0.4098146806;0 days 00:01:48.612169785
KBOOST;0.23243180114417736;0.5857777777777778;0.4091047894;0 days 00:00:00.335576407
LEAP;0.33602783602781444;0.6675555555555556;0.5017916957;0 days 00:00:00.432030143
LOCPCACMI;0.3308504056883586;0.6444444444444444;0.4876474250;0 days 00:00:07.323558942
MEOMI;0.23189181791686964;0.5831111111111111;0.4075014645;0 days 00:00:13.587632671
MRNETB;0.3614031310512349;0.6866666666666666;0.5240348988;0 days 00:00:00.279750174
MRNET;0.343939536936747;0.6493333333333333;0.4966364351;0 days 00:00:00.552770919
NARROMI;0.2679713822957601;0.5902222222222222;0.4290968022;0 days 00:00:10.297673675
NONLINEARODES;0.21874081737731088;0.6444444444444445;0.4315926309;0 days 00:00:01.391524693
PCACMI;0.20972931207297232;0.5244444444444445;0.3670868782;0 days 00:00:06.366384621
PCIT;0.32624195231200886;0.5884444444444444;0.4573431983;0 days 00:00:14.341200806
PIDC;0.27090822159046946;0.5422222222222222;0.4065652219;0 days 00:00:14.267286893
PLSNET;0.1454481217982196;0.3466666666666667;0.2460573942;0 days 00:00:08.531631598
PUC;0.29410250485511363;0.5422222222222222;0.4181623635;0 days 00:00:09.253149342
RSNET;0.3513966979045588;0.7004444444444444;0.5259205711;0 days 00:00:12.872582090
TIGRESS;0.32566907635921116;0.5973333333333333;0.4615012048;0 days 00:00:08.189505200
