sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.403693042634276;0.654758261933905;0.5292256522;0 days 00:00:00.275175369
BC3NET;0.379022045220544;0.605339657282742;0.4921808512;0 days 00:00:04.710176568
C3NET;0.377703295791078;0.617120563035496;0.4974119294;0 days 00:00:00.349395629
CLR;0.497654088330309;0.785648714810281;0.6416514015;0 days 00:00:00.263666379
CMI2NI;0.578432818647418;0.842870257037944;0.7106515378;0 days 00:00:07.131783516
GENIE3_ET;0.541461224124321;0.829406364749082;0.6854337944;0 days 00:00:11.818859405
GENIE3_RF;0.477498989160716;0.832925336597307;0.6552121628;0 days 00:00:14.219785708
GRNBOOST2;0.299733480275578;0.627294981640147;0.4635142309;0 days 00:00:03.777040580
GRNVBEM;0.14964785941612;0.436199510403917;0.2929236849;0 days 00:00:07.022533170
INFERELATOR;0.594828866092349;0.81594247246022;0.7053856692;0 days 00:08:31.386572346
JUMP3;0.263038996953693;0.65437576499388;0.4587073809;0 days 00:00:35.802968794
KBOOST;0.360759079809469;0.686352509179927;0.5235557944;0 days 00:00:00.292533553
LEAP;0.401433789404166;0.694767441860465;0.5481006156;0 days 00:00:00.297252986
LOCPCACMI;0.486808314279951;0.720088739290086;0.6034485267;0 days 00:00:06.523773742
MEOMI;0.400332391549418;0.645195838433293;0.5227641149;0 days 00:00:09.265066627
MRNETB;0.436926879704957;0.762239902080783;0.5995833908;0 days 00:00:00.275973306
MRNET;0.461821048983449;0.753289473684211;0.6075552613;0 days 00:00:00.553734943
NARROMI;0.271611079135889;0.539014687882497;0.4053128835;0 days 00:00:11.134727226
NONLINEARODES;0.240081081462866;0.626147490820073;0.4331142861;0 days 00:00:01.557185937
PCACMI;0.593077855443204;0.822827417380661;0.7079526364;0 days 00:00:06.652261248
PCIT;0.180952380952381;0.5;0.3404761904;0 days 00:00:14.241837841
PIDC;0.279512157457169;0.534118727050183;0.4068154422;0 days 00:00:09.675896553
PLSNET;0.36742463245558;0.710373317013464;0.5388989747;0 days 00:00:09.395906437
PUC;0.286162679660555;0.534195226438188;0.4101789530;0 days 00:00:09.818371329
RSNET;0.315891930290018;0.572368421052632;0.4441301756;0 days 00:00:12.945821788
TIGRESS;0.538264554321121;0.793451652386781;0.6658581033;0 days 00:00:15.655435435
