sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp;sim_eipo-modular_size-20_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.403693042634276;0.654758261933905;0.5292256522
BC3NET;0.379022045220544;0.605339657282742;0.4921808512
C3NET;0.377703295791078;0.617120563035496;0.4974119294
CLR;0.497654088330309;0.785648714810281;0.6416514015
CMI2NI;0.578432818647418;0.842870257037944;0.7106515378
GENIE3_ET;0.541461224124321;0.829406364749082;0.6854337944
GENIE3_RF;0.477498989160716;0.832925336597307;0.6552121628
GRNBOOST2;0.299733480275578;0.627294981640147;0.4635142309
GRNVBEM;0.14964785941612;0.436199510403917;0.2929236849
INFERELATOR;0.594828866092349;0.81594247246022;0.7053856692
JUMP3;0.263038996953693;0.65437576499388;0.4587073809
KBOOST;0.360759079809469;0.686352509179927;0.5235557944
LEAP;0.401433789404166;0.694767441860465;0.5481006156
LOCPCACMI;0.486808314279951;0.720088739290086;0.6034485267
MEOMI;0.400332391549418;0.645195838433293;0.5227641149
MRNETB;0.436926879704957;0.762239902080783;0.5995833908
MRNET;0.461821048983449;0.753289473684211;0.6075552613
NARROMI;0.271611079135889;0.539014687882497;0.4053128835
NONLINEARODES;0.240081081462866;0.626147490820073;0.4331142861
PCACMI;0.593077855443204;0.822827417380661;0.7079526364
PCIT;0.180952380952381;0.5;0.3404761904
PIDC;0.279512157457169;0.534118727050183;0.4068154422
PLSNET;0.36742463245558;0.710373317013464;0.5388989747
PUC;0.286162679660555;0.534195226438188;0.410178953
RSNET;0.315891930290018;0.572368421052632;0.4441301756
TIGRESS;0.538264554321121;0.793451652386781;0.6658581033
BEST_GENECI;0.384375544945006;0.766064871481028;0.575220208213017
MEDIAN_GENECI;0.373054726699933;0.746634026927785;0.559844376813859
MEAN;0.551223680441912;0.817319461444308;0.68427157094311
MEDIAN;0.568431000369031;0.831701346389229;0.70006617337913
