D4_10_5;D4_10_5;D4_10_5;D4_10_5;D4_10_5
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.3167515046475245;0.6688034188034188;0.4927774617;0 days 00:00:00.274567842
BC3NET;0.21658270911791563;0.6613247863247863;0.4389537477;0 days 00:00:21.668437470
C3NET;0.34967227126879175;0.6965811965811965;0.5231267339;0 days 00:00:00.369917912
CLR;0.3647702690890051;0.6912393162393162;0.5280047926;0 days 00:00:00.270715634
CMI2NI;0.35187142599220766;0.7628205128205128;0.5573459694;0 days 00:00:06.736456775
GENIE3_ET;0.4153237758093465;0.8301282051282052;0.6227259904;0 days 00:00:07.881994219
GENIE3_RF;0.4446688365523678;0.8087606837606838;0.6267147601;0 days 00:00:09.154829664
GRNBOOST2;0.3623488685774101;0.7350427350427351;0.5486958018;0 days 00:00:04.116571820
GRNVBEM;0.3496100977378164;0.813034188034188;0.5813221428;0 days 00:00:06.275139445
INFERELATOR;0.36618410735104556;0.7590811965811965;0.5626326519;0 days 00:06:53.488656738
JUMP3;0.3920010061173239;0.7318376068376069;0.5619193064;0 days 00:02:23.886565300
KBOOST;0.23925544615934885;0.6666666666666667;0.4529610564;0 days 00:00:00.332028275
LEAP;0.5477193521905241;0.767094017094017;0.6574066846;0 days 00:00:00.440430606
LOCPCACMI;0.3434308878048165;0.7003205128205129;0.5218757003;0 days 00:00:07.353114483
MEOMI;0.30538080640536364;0.7435897435897436;0.5244852749;0 days 00:00:13.990627204
MRNETB;0.339958927048061;0.670405982905983;0.5051824549;0 days 00:00:00.269634632
MRNET;0.3415962657753864;0.6720085470085471;0.5068024063;0 days 00:00:00.550894254
NARROMI;0.20685824464610425;0.5064102564102564;0.3566342505;0 days 00:00:10.568308428
NONLINEARODES;0.30367445824804756;0.6164529914529915;0.4600637248;0 days 00:00:01.364307610
PCACMI;0.2659244957019409;0.5673076923076923;0.4166160940;0 days 00:00:06.398666312
PCIT;0.2578513999950218;0.5576923076923077;0.4077718538;0 days 00:00:13.855690487
PIDC;0.3631142617226254;0.7243589743589743;0.5437366180;0 days 00:00:14.226293008
PLSNET;0.2109299176757246;0.7200854700854701;0.4655076938;0 days 00:00:08.547568400
PUC;0.341399839577466;0.6944444444444444;0.5179221420;0 days 00:00:09.355736147
RSNET;0.28650126457600855;0.6148504273504274;0.4506758459;0 days 00:00:12.421856252
TIGRESS;0.12679282182334278;0.4017094017094016;0.2642511117;0 days 00:00:08.170172453
