D4_10_5;D4_10_5;D4_10_5;D4_10_5
Technique;AUPR;AUROC;Mean
ARACNE;0.3167515046475245;0.6688034188034188;0.4927774617
BC3NET;0.2165827091179156;0.6613247863247863;0.4389537477
C3NET;0.3496722712687917;0.6965811965811965;0.5231267339
CLR;0.3647702690890051;0.6912393162393162;0.5280047926
CMI2NI;0.3518714259922076;0.7628205128205128;0.5573459694
GENIE3_ET;0.4153237758093465;0.8301282051282052;0.6227259904
GENIE3_RF;0.4446688365523678;0.8087606837606838;0.6267147601
GRNBOOST2;0.3623488685774101;0.7350427350427351;0.5486958018
GRNVBEM;0.3496100977378164;0.813034188034188;0.5813221428
INFERELATOR;0.3661841073510455;0.7590811965811965;0.5626326519
JUMP3;0.3920010061173239;0.7318376068376069;0.5619193064
KBOOST;0.2392554461593488;0.6666666666666667;0.4529610564
LEAP;0.5477193521905241;0.767094017094017;0.6574066846
LOCPCACMI;0.3434308878048165;0.7003205128205129;0.5218757003
MEOMI;0.3053808064053636;0.7435897435897436;0.5244852749
MRNETB;0.339958927048061;0.670405982905983;0.5051824549
MRNET;0.3415962657753864;0.6720085470085471;0.5068024063
NARROMI;0.2068582446461042;0.5064102564102564;0.3566342505
NONLINEARODES;0.3036744582480475;0.6164529914529915;0.4600637248
PCACMI;0.2659244957019409;0.5673076923076923;0.416616094
PCIT;0.2578513999950218;0.5576923076923077;0.4077718538
PIDC;0.3631142617226254;0.7243589743589743;0.543736618
PLSNET;0.2109299176757246;0.7200854700854701;0.4655076938
PUC;0.341399839577466;0.6944444444444444;0.517922142
RSNET;0.2865012645760085;0.6148504273504274;0.4506758459
TIGRESS;0.1267928218233427;0.4017094017094016;0.2642511117
BEST_GENECI;0.4880593866498151;0.811965811965812;0.6500125993078135
MEDIAN_GENECI;0.4441116774903227;0.782051282051282;0.6130814797708024
MEAN;0.5081655654648981;0.8269230769230769;0.6675443211939875
MEDIAN;0.3323682874709021;0.7115384615384616;0.5219533745046818
